date,adj_close,close,high,low,open,volume
2013-01-21,29.8884,42.7,42.7,42.0,42.3,106700
2013-01-22,29.7834,42.55,42.7,42.35,42.7,35900
2013-01-23,29.7834,42.55,42.55,42.3,42.55,29200
2013-01-24,29.5384,42.2,42.4,42.2,42.4,40400
2013-01-25,29.5384,42.2,42.2,42.05,42.15,91000
2013-01-28,29.4684,42.1,42.25,42.1,42.25,77500
2013-01-29,29.7134,42.45,42.5,42.2,42.2,62900
2013-01-30,29.5734,42.25,42.6,42.0,42.6,159500
2013-01-31,29.6784,42.4,42.45,42.0,42.2,65100
2013-02-01,29.7484,42.5,42.5,42.3,42.4,40400
2013-02-04,29.8184,42.6,42.6,42.2,42.6,96600
2013-02-05,29.8534,42.65,42.7,42.2,42.6,70700
2013-02-06,29.6434,42.35,42.7,42.25,42.55,82000
2013-02-07,29.6434,42.35,42.35,42.35,42.35,0
2013-02-08,29.6434,42.35,42.35,42.35,42.35,0
2013-02-11,29.6434,42.35,42.35,42.35,42.35,0
2013-02-12,29.6434,42.35,42.35,42.35,42.35,0
2013-02-13,29.6434,42.35,42.35,42.35,42.35,0
2013-02-14,29.6434,42.35,42.35,42.35,42.35,0
2013-02-15,29.6434,42.35,42.35,42.35,42.35,0
2013-02-18,29.6434,42.35,42.5,42.3,42.4,70700
2013-02-19,29.6084,42.3,42.5,42.2,42.35,66200
2013-02-20,29.6434,42.35,42.45,42.2,42.4,87600
2013-02-21,29.8184,42.6,42.6,42.35,42.35,78600
2013-02-22,29.8184,42.6,42.6,42.45,42.5,83100
2013-02-25,31.0083,44.3,44.9,43.95,43.95,537000
2013-02-26,30.7634,43.95,44.3,43.5,44.3,230300
2013-02-27,30.7983,44.0,44.2,43.65,43.95,134800
2013-02-28,30.7983,44.0,44.0,44.0,44.0,0
2013-03-01,31.4283,44.9,44.9,43.85,44.2,505600
2013-03-04,31.2183,44.6,45.5,44.0,44.9,289800
2013-03-05,31.1483,44.5,44.6,44.3,44.5,68500
2013-03-06,31.0783,44.4,44.6,44.2,44.6,123500
2013-03-07,30.7983,44.0,44.4,43.85,44.4,123500
2013-03-08,30.7284,43.9,44.1,43.8,44.1,117900
2013-03-11,30.5884,43.7,44.2,43.3,43.8,276400
2013-03-12,30.4134,43.45,43.9,43.45,43.5,74100
2013-03-13,30.3084,43.3,43.5,43.3,43.3,95500
2013-03-14,30.3084,43.3,43.45,42.8,43.0,88700
2013-03-15,30.3784,43.4,43.4,43.1,43.3,75200
2013-03-18,30.3784,43.4,43.4,43.15,43.4,84200
2013-03-19,30.4484,43.5,43.8,43.3,43.3,85300
2013-03-20,30.4134,43.45,43.65,43.3,43.5,67400
2013-03-21,30.6584,43.8,43.9,43.5,43.5,49400
2013-03-22,30.6584,43.8,44.2,43.8,44.2,93200
2013-03-25,31.3583,44.8,44.9,44.2,44.2,215700
2013-03-26,31.2883,44.7,45.0,44.3,44.8,280800
2013-03-27,31.1483,44.5,45.0,44.35,44.6,199900
2013-03-28,31.4983,45.0,45.2,44.5,44.5,232500
2013-03-29,31.4283,44.9,45.3,44.7,45.3,115700
2013-04-01,31.4983,45.0,45.1,44.7,45.1,117900
2013-04-02,31.1483,44.5,44.8,44.2,44.8,185300
2013-04-03,31.0783,44.4,44.6,44.3,44.5,135900
2013-04-04,31.0783,44.4,44.4,44.4,44.4,0
2013-04-05,31.0783,44.4,44.4,44.4,44.4,0
2013-04-08,30.6584,43.8,44.2,43.2,44.2,328000
2013-04-09,30.8333,44.05,44.05,43.8,43.8,85300
2013-04-10,30.8683,44.1,44.6,44.05,44.05,129200
2013-04-11,31.0083,44.3,44.4,44.2,44.2,78600
2013-04-12,31.1483,44.5,44.7,44.4,44.5,88700
2013-04-15,30.9383,44.2,44.7,44.2,44.5,80800
2013-04-16,31.0433,44.35,44.35,43.9,44.0,66200
2013-04-17,31.0433,44.35,44.75,44.3,44.35,97700
2013-04-18,31.2883,44.7,44.75,44.2,44.2,75200
2013-04-19,31.3933,44.85,45.2,44.7,44.7,253900
2013-04-22,31.4633,44.95,45.1,44.9,44.9,135900
2013-04-23,31.4983,45.0,45.1,44.9,45.0,82000
2013-04-24,31.6383,45.2,45.4,45.0,45.0,120200
2013-04-25,31.2883,44.7,45.2,44.5,45.2,237000
2013-04-26,31.2183,44.6,44.9,44.5,44.7,182000
2013-04-29,31.0083,44.3,44.7,44.25,44.6,166200
2013-04-30,31.1483,44.5,44.7,44.35,44.45,75200
2013-05-01,31.1483,44.5,44.5,44.5,44.5,0
