stock,89年1-6月,稅後純益,89年1-6月,增(減)(%),期末股本,稅後純益,89年1-6月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,89年1-6月,增(減)(%),營業利益,89年1-6月,營業外
1221,68456,216048,84810,154.74,1760000,1.23,0.54,11.8854,55.8756,1.46,1.06,1221,久津,2059274,909060,126.53,103804,44618,119944
1222,-164879,-119078,-330227,-63.94,1283054,-0.93,-1.76,2.7302,20.8568,0.06,0.05,1222,源益,188255,535982,-64.88,-69464,-149134,-49445
1224,-123492,-286672,-87757,226.67,949421,-3.02,-0.92,2.2918,12.7047,0.41,0.17,1224,惠勝,1450300,1794343,-19.17,-53033,39619,-162822
1225,15402,-25604,59811,,1995418,-0.13,0.3,10.3681,62.6872,1.06,0.56,1225,福懋油,1581531,1878174,-15.79,35242,44409,-56121
1226,-26445,-153964,-106425,44.67,2320000,-0.66,-0.46,4.3552,29.646,0.31,0.07,1226,立大,283250,790844,-64.18,-77227,-61763,-76737
1228,52595,-15396,-68507,-77.53,998000,-0.15,-0.69,5.0983,36.6839,0.77,0.56,1228,臺芳,431746,303203,42.4,-32137,-121102,16746
1229,662730,105898,697133,-84.81,6612928,0.16,1.08,13.958,74.5816,1.53,1.04,1229,聯華,681532,688361,-0.99,-16709,22879,124417
1230,-69938,-43670,-85953,-49.19,728957,-0.6,-1.18,3.6044,17.8499,0.35,0.01,1230,聯成食,45389,228848,-80.17,-11199,-16015,-32471
1231,5150,51083,73547,-30.54,1154190,0.44,0.66,14.1731,68.7445,1.72,0.62,1231,聯華食,796368,835363,-4.67,62088,96098,3401
1232,9652,145020,140964,2.88,1509197,0.96,0.93,12.3339,49.0802,0.99,0.35,1232,大統益,2947053,2595761,13.53,184437,160723,1737
1233,8183,41591,45171,-7.93,829045,0.5,0.56,11.3203,71.0428,1.88,1.14,1233,天仁,573646,530890,8.05,48200,49758,11827
1234,5709,68923,132403,-47.94,5358281,0.13,0.25,14.0787,64.4271,1.67,1.34,1234,黑松,1777613,1926936,-7.75,111486,188194,-1363
1235,8937,62512,32684,91.26,373368,1.67,0.92,15.8488,67.3529,3.01,2.52,1235,興泰,596931,475499,25.54,63769,32966,15119
13,8030956,6720884,22212477,-69.74,168290859,0.4,1.41,17.5281,52.7177,1.13,0.54,13,塑膠類,116735725,122330531,-4.57,5189348,9463053,-731377
1301,3488615,5061818,6919120,-26.84,42380687,1.19,1.8,20.8376,51.8999,1.17,0.43,1301,臺塑,29908671,25177871,18.79,2039048,2548597,1962782
1303,2036728,5224040,9949725,-47.5,58079248,0.9,1.9,21.6672,54.9638,1.05,0.48,1303,南亞,48688298,53229388,-8.53,3952182,4464981,-50838
1304,558788,-73002,506945,,7714032,-0.09,0.66,12.2698,66.4802,2.17,1,1304,臺聚,2453576,2480872,-1.1,-40221,-93729,13475
1305,64793,-458956,-48109,853.99,4248035,-1.08,-0.11,11.1204,48.657,1.35,0.9,1305,華夏,3015760,3741537,-19.4,-75532,-172168,-370142
1306,-19918,51706,69705,-25.82,483840,1.07,1.61,13.4177,35.8879,1.07,0.6,1306,合發,817733,858772,-4.78,91126,96149,-18439
1307,18111,32887,51495,-36.14,2069490,0.16,0.25,12.6607,62.0707,2.01,1.21,1307,三芳,1886619,1842946,2.37,100040,29821,-43136
1308,96284,-25074,76237,,2279277,-0.11,0.33,15.6018,85.9979,2.66,1.85,1308,亞聚,1227836,1283664,-4.35,-33736,-24452,7327
1309,58892,-88406,79405,,2626219,-0.34,0.3,14.3033,79.1997,2.52,1.48,1309,臺達化,1828518,2256767,-18.98,-51536,5128,-43297
1310,61859,-106228,800700,,4851511,-0.22,1.73,12.2214,68.726,1.06,0.58,1310,台苯,2494826,4076745,-38.8,-218681,957302,39562
1311,39420,32000,103053,-68.95,2594613,0.12,0.4,14.1332,75.2883,2.35,1.48,1311,福聚,3443205,3511731,-1.95,82339,97033,-46039
1312,510658,-1017291,1154035,,6598242,-1.54,1.78,11.1831,47.959,1.59,0.99,1312,國喬,3669348,4907579,-25.23,-169962,804944,-865856
1313,168521,-45553,168841,,7017370,-0.06,0.25,12.267,66.7613,2.13,1.13,1313,聯成,1648586,1681218,-1.94,12392,11508,17094
1314,756950,-1923944,1682752,,14828689,-1.3,1.13,11.1481,30.8181,0.64,0.34,1314,中石化,7339293,8595655,-14.62,-794508,685401,-1316064
1315,-25494,96752,-1284,,2415227,0.4,(<<<<<),13.257,62.2317,1.57,1.16,1315,達新,1551470,1467781,5.7,101780,28331,25036
1316,221315,-145993,157958,,1403322,-1.04,1.13,6.504,52.5443,0.57,0.31,1316,上曜,430699,565059,-23.78,-9199,-63357,-7907
1317,-16027,-63109,320139,,520875,-1.21,6.15,-1.1133,-2.4861,0.53,0.25,1317,尚鋒,543340,597424,-9.05,-24879,-5642,-38230
1319,-72960,130913,2485,+++++,3883230,0.34,<<<<<,11.3929,50.3041,0.94,0.73,1319,東陽,2810378,2829181,-0.66,219569,104505,-25303
1321,8369,-32884,-41330,-20.44,2080845,-0.16,-0.2,12.5364,63.208,1.77,0.74,1321,大洋,1926672,2048385,-5.94,-14107,-69923,-36019
1323,5801,17132,20394,-15.99,693933,0.25,0.29,12.0416,71.5854,1.95,1.5,1323,永裕,421772,483596,-12.78,12774,19799,10431
1324,7490,39897,154550,-74.19,625774,0.64,2.96,14.4958,71.7444,2.63,2.32,1324,地球,455397,462213,-1.47,2091,2400,37895
1325,62761,14179,85661,-83.45,896400,0.16,1.06,12.4007,69.5951,12.4,6.73,1325,恒大,173728,232147,-25.16,8368,36425,16291
14,1680180,-4597087,8612848,,305831070,-0.15,0.29,12.06,49.4811,0.91,0.34,14,紡織纖維類,154907732,163829529,-5.45,2252592,3710732,-5881455
1402,766435,362207,854789,-57.63,32035233,0.11,0.28,15.7013,49.8484,1.14,0.58,1402,遠紡,16171443,15950037,1.39,4140,88354,358067
1407,89859,-2899351,-76415,+++++,24345602,-1.19,-0.03,7.1861,35.7339,0.35,0.13,1407,華隆,11276597,13525222,-16.63,-437224,-175137,-2496906
1408,-352796,-1121673,-522901,114.51,9084506,-1.23,-0.58,8.0058,32.4399,0.57,0.13,1408,中紡,4540321,5169115,-12.16,-452617,-170105,-669056
1409,65797,-162687,-143084,13.7,13253409,-0.12,-0.11,8.3559,49.6037,0.66,0.32,1409,新纖,6259801,6760974,-7.41,-52179,-290248,-70459
1410,-38747,-41592,-59998,-30.68,900000,-0.46,-0.67,11.1104,85.3529,3.68,3.07,1410,南染,213427,296354,-27.98,-28992,-36977,-23996
1413,-29708,-174024,-241784,-28.03,2836457,-0.61,-0.85,8.8556,49.4157,0.79,0.18,1413,宏洲,1512508,1691772,-10.6,-169592,-227516,-33036
1414,-103831,-239491,-225715,6.1,3515775,-0.68,-0.64,6.4773,32.7132,0.44,0.26,1414,東和,1750356,1697493,3.11,-153767,-128994,-79680
1416,-72053,-340817,-104641,225.7,5497834,-0.62,-0.19,10.2116,53.0274,0.93,0.35,1416,廣豐,1376917,1360773,1.19,-78252,-56933,-244533
1417,56020,62846,50307,24.92,4157493,0.15,0.12,11.1176,67.681,1.13,0.6,1417,嘉裕,866222,1057197,-18.06,-34113,-10381,102603
1418,289668,-202069,254978,,2638553,-0.77,0.97,9.7647,67.9198,1.29,0.72,1418,東華,1001972,1182997,-15.3,-252029,-42747,33632
1419,8820,-61093,16973,,2904000,-0.21,0.06,11.6391,47.1674,0.39,0.3,1419,新紡,400225,431740,-7.3,-21458,8753,-42112
1420,-264912,1441832,-264929,,7880511,1.83,-0.34,10.9932,39.0331,0.77,0.2,1420,潤泰,4747017,4855565,-2.24,175611,-34204,1322880
1422,-134673,-210461,-101263,107.84,1800000,-1.17,-0.56,5.277,20.408,1.17,0.14,1422,民興,231532,935394,-75.25,-31489,21864,-183749
1423,-2669,77340,21115,266.28,1793000,0.43,0.12,12.5746,69.0201,3.26,1.18,1423,利華,1353188,1242099,8.94,86758,30284,19022
1431,-530331,-440227,-661743,-33.47,2789250,-1.58,-2.37,1.5315,3.746,0.54,0.04,1431,新燕,507062,645327,-21.43,-142918,-131412,-297309
1432,24802,-76478,23271,,2077654,-0.37,0.11,5.6272,23.4108,0.82,0.18,1432,大魯閣,848202,977215,-13.2,3456,-3601,-79934
1433,1092638,3559863,6622793,-46.25,39439172,0.9,1.89,22.3148,52.1375,1.08,0.35,1433,臺化,34130159,30835032,10.69,2138524,2273722,1421339
1434,-11715,608288,877463,-30.68,14819801,0.41,0.63,12.7439,57.333,1.68,1.02,1434,褔懋,8105654,8720303,-7.05,1055497,1121745,-342537
1435,-3958,11100,-1856,,1397801,0.08,-0.01,11.0971,75.5067,1.32,0.61,1435,中褔,143062,299909,-52.3,-56503,-5932,62081
1436,39795,-36780,-88774,-58.57,3100000,-0.12,-0.28,11.0223,63.0378,1.86,0.28,1436,褔益,84578,241442,-64.97,-99004,-129639,62224
1437,38863,-79569,16130,,1572008,-0.51,0.1,13.1664,66.8981,1.44,0.6,1437,勤益,317702,226116,40.5,-77537,-43568,-4176
1438,-221214,-80796,-250014,-67.68,1024115,-0.79,-2.44,5.062,29.5001,0.53,0.11,1438,裕豐,265111,245196,8.12,-69377,-28800,-11419
1439,28846,69423,15179,357.36,1085400,0.64,0.14,12.5173,62.0256,2.84,1.39,1439,中和,685386,704143,-2.66,46214,-8607,36155
1440,192498,-326280,92271,,15013380,-0.22,0.06,12.3234,60.6656,1.43,0.34,1440,南紡,4828414,5143838,-6.13,-212641,-89827,159759
1441,-35691,-208263,8419,,1625006,-1.28,0.05,10.6309,44.9724,1.09,0.32,1441,大東,895604,1139805,-21.42,-100475,55937,-92827
1442,-411285,-128376,-490526,-73.83,1991580,-0.64,-2.46,5.8752,51.9404,1.5,0.11,1442,達永興,290933,854146,-65.94,-1649,-55313,-127718
1443,4735,-95175,-26416,260.29,3010900,-0.32,-0.09,10.1299,65.3685,0.8,0.4,1443,立益,610642,540788,12.92,-70572,-24555,-25412
1444,-107942,-190371,-229111,-16.91,7314000,-0.26,-0.28,10.3335,60.9322,0.76,0.52,1444,力麗,2747298,2986067,-8,25594,-121169,-145965
1445,13435,7424,20104,-63.07,1864420,0.04,0.1,11.8215,61.0218,1.66,0.92,1445,大宇,1263801,1211976,4.28,52134,6610,3173
1446,-26950,4458,-86661,,3338158,0.01,-0.26,13.4876,59.7505,1.05,0.5,1446,宏和,2263666,3820959,-40.76,634,-59752,3824
1447,-86391,47877,101734,-52.94,5706875,0.08,0.16,11.3983,51.4836,1.14,0.61,1447,力鵬,4484077,4030898,11.24,156876,94625,-108999
1449,191471,-49038,219819,,6668541,-0.07,0.33,8.0516,47.712,0.97,0.32,1449,佳和,2383245,2593402,-8.1,181972,23891,-188109
1450,-15074,-91445,44670,,2821132,-0.32,0.16,12.1931,52.7978,0.57,0.25,1450,新藝,993967,905390,9.78,-63478,67683,-27967
1451,353330,876306,851696,2.89,5983691,1.46,1.67,13.9245,76.4822,1.9,1.25,1451,年興,3237889,2886580,12.17,675060,653203,374808
1452,28652,77550,13768,463.26,1892900,0.41,0.07,9.3663,72.581,1.64,1.26,1452,宏益,883220,940212,-6.06,32758,-18112,63318
1453,-32045,53155,-37122,,1493884,0.36,-0.25,8.1605,44.9071,1.14,0.42,1453,大將,932809,313455,197.59,-25933,-14445,76411
1454,-3907,-25641,8794,,1621291,-0.16,0.06,11.0002,59.2065,1.17,0.6,1454,台富,1308751,1294156,1.13,70507,16000,-66150
1455,18157,96746,228565,-57.67,4060224,0.24,0.56,12.3235,59.3713,0.99,0.64,1455,集盛,2506964,1869012,34.13,67393,59075,17706
1456,337039,-129148,318420,,3872831,-0.33,0.82,6.2816,31.2999,0.92,0.39,1456,怡華,1851571,2036323,-9.07,-22803,1501,-78286
1457,197808,84242,149818,-43.77,3723200,0.23,0.39,11.2307,50.2248,0.5,0.3,1457,宜進,1717655,1919483,-10.51,31442,-28050,69712
1458,-207258,-984322,-188639,421.8,5650000,-1.74,-0.33,6.0321,42.7941,0.39,0.12,1458,嘉畜,1449306,1855658,-21.9,-44855,18619,-939467
1459,-65473,12602,65838,-80.86,3533776,0.04,0.17,11.5957,56.7327,1.4,1.07,1459,聯發,1269395,1415095,-10.3,62856,162272,-32359
1460,-21836,195344,22419,771.33,5040845,0.39,0.04,12.36,66.9343,1.4,0.35,1460,宏遠,3139007,4126217,-23.93,128851,37548,83747
1462,687613,-4153417,917468,,22224139,-1.87,0.41,8.3078,38.6193,0.98,0.06,1462,東雲,5141847,6835966,-24.78,-458347,81644,-3762882
1463,24257,-8464,89916,,2060577,-0.04,0.45,10.9847,81.9722,1.31,0.73,1463,強盛,619948,897829,-30.95,-19512,82294,5593
1464,-34350,53763,25825,108.18,2396194,0.22,0.11,6.2255,47.7495,0.65,0.28,1464,得力,1276100,1813074,-29.62,89291,61572,-33187
1465,12161,81015,69713,16.21,1073609,0.75,0.62,15.5477,79.2669,3.2,2.42,1465,偉全,1084210,1080232,0.37,83702,79409,17089
1466,-87713,-221301,-197110,12.27,1687387,-1.31,-0.74,5.5056,28.122,0.37,0.09,1466,聚隆,954264,1161715,-17.86,-136848,-105579,-82827
1467,-32872,7257,19294,-62.39,987360,0.07,0.25,12.8456,44.8651,0.89,0.57,1467,南緯,901283,1276943,-29.42,37027,64166,-27929
1468,-11244,33249,72855,-54.36,1604053,0.21,0.49,12.225,72.0447,1.99,1,1468,昶和,621946,875675,-28.98,32225,97586,8277
1469,-32258,25592,26080,-1.87,1246000,0.21,0.23,16.2228,70.0625,0.97,0.52,1469,理隆,570623,608068,-6.16,30962,73810,-2180
1470,-13298,-19313,3206,,857670,-0.23,0.04,9.9563,68.4084,1.17,0.87,1470,大統染,362665,426868,-15.04,-12535,8966,-6778
1471,-37430,-5988,24729,,1171280,-0.05,0.21,11.2094,45.1979,1.03,0.72,1471,首利,1378712,1414182,-2.51,21726,62159,-27714
1472,57558,9452,58220,-83.77,690000,0.14,0.97,15.8325,81.5324,2.04,1.12,1472,三洋纖,524644,471157,11.35,2398,7497,10654
1473,162916,302036,234689,28.7,1160902,2.6,2.47,22.3073,69.2565,1.25,0.72,1473,台南,2003221,1757657,13.97,151827,135487,207212
1474,1796,57436,70758,-18.83,608862,0.94,1.46,14.4551,51.9003,1.69,1.09,1474,弘裕,1397759,1356364,3.05,68426,83648,7751
1475,-55380,-49682,39285,,976721,-0.51,0.4,9.3201,39.1552,1.03,0.29,1475,本盟,792890,1174978,-32.52,6420,78904,-47529
1476,-19785,37842,60179,-37.12,912108,0.41,0.66,13.6051,52.9303,1.19,0.58,1476,儒鴻,1430964,1743946,-17.95,59010,93507,-5305
15,379338,4223203,3807720,10.91,68401449,0.62,0.59,14.8681,56.0619,1.46,0.83,15,電機機械類,47541001,49187497,-3.35,2816399,4119347,1973845
1503,-11628,214337,365666,-41.38,5209690,0.41,0.73,16.9858,56.7332,1.46,0.91,1503,士電,4954394,5046029,-1.82,354509,453215,-119467
1504,610607,805808,1133718,-28.92,19571203,0.41,0.63,16.8775,56.5135,1.54,1.02,1504,東元,11383905,10877903,4.65,80125,712842,725683
1506,6027,396,37514,-98.94,1022516,<<<<<,0.37,11.1693,41.2341,0.51,0.24,1506,正道,366947,430068,-14.68,24987,25338,-29032
1507,31858,172909,177142,-2.39,4108200,0.42,0.43,16.9343,78.9274,2.14,1.4,1507,永大,1466662,1796056,-18.34,128281,198381,80055
1510,-31988,10030,64418,-84.43,2280434,0.04,0.29,13.8963,40.0313,1.63,0.65,1510,台安,2783033,2667780,4.32,81657,90285,-73872
1512,-104814,11083,-65972,,1765073,0.06,-0.37,11.1119,52.0427,0.73,0.34,1512,瑞利,1112978,1375118,-19.06,21510,41718,-6040
1513,-141464,344957,664547,-48.09,6233040,0.55,1.07,13.1464,47.7599,1.6,0.29,1513,中興電,4754050,5303381,-10.36,370146,843028,30599
1514,31026,74955,138572,-45.91,1982173,0.38,0.7,12.1263,55.9069,1.66,1.05,1514,亞力,1502106,1493537,0.57,119368,137143,-21874
1515,-49485,-84061,81842,,2497131,-0.34,0.34,11.5708,44.3996,1.44,1.06,1515,力山,1415532,2425232,-41.63,-12489,172639,-79636
1516,6963,-30221,28196,,1542362,-0.2,0.18,8.8175,57.1495,1.13,0.57,1516,川飛,474451,575660,-17.58,4796,20586,-33710
1517,-189133,-70220,-225932,-68.92,2312673,-0.3,-0.98,11.0008,91.2735,8.31,6.87,1517,利奇,759217,1155636,-34.3,-72091,-47598,-20339
1518,-32549,-37214,-21256,75.08,1847422,-0.2,-0.11,11.7489,68.3246,1.77,0.54,1518,夆典,1267698,718872,76.35,11129,17515,-48343
1519,-12618,4198,188101,-97.77,2195604,0.02,0.94,10.4348,58.4481,1.2,0.9,1519,華城,836396,1485986,-43.71,5265,222448,-3533
1520,159243,1846284,401810,359.49,3352872,5.51,1.46,17.7344,60.3543,1.68,1.41,1520,復盛,2511495,1772365,41.7,784740,292757,1294493
1521,-26086,20670,88145,-76.55,762300,0.27,1.16,13.2265,46.7488,1.25,0.78,1521,大億,973690,1214623,-19.84,16510,133085,1647
1522,-58762,132572,-19635,,1696484,0.78,-0.12,19.1007,45.4772,0.91,0.68,1522,堤維西,2203880,1916058,15.02,114914,38741,47264
1523,20533,80039,-56716,,1449349,0.55,-0.39,14.2317,47.1017,0.68,0.52,1523,開億,1620408,1427230,13.54,101803,-72453,-2724
1524,-1566,44574,13012,242.56,1052670,0.42,0.13,12.5193,48.1319,0.86,0.56,1524,耿鼎,750381,551190,36.14,66198,4969,-6753
1525,12587,28174,39196,-28.12,410571,0.69,0.95,19.7211,72.6825,2.94,2.2,1525,江申,359174,484493,-25.87,8391,33609,18183
1526,-5282,-48024,-9266,418.28,787971,-0.61,-0.13,11.1695,56.3251,1.02,0.49,1526,日馳,322495,440427,-26.78,-35233,-12773,-18873
1527,12935,265709,237796,11.74,1297750,2.05,2.21,13.4725,76.3696,2.49,2.16,1527,鑽全,915390,943211,-2.95,299349,296481,54498
1528,-4104,31337,65544,-52.19,800000,0.39,1.06,14.1784,49.5959,1.64,1.01,1528,恩德,1028212,1069892,-3.9,69363,85526,-29354
1529,7833,9900,47246,-79.05,672720,0.15,0.85,12.4624,54.6565,1.58,0.84,1529,樂士,506824,688503,-26.39,13504,50890,470
1530,6093,13784,6263,120.09,476011,0.29,0.13,11.0519,73.6312,3.28,1.69,1530,亞崴,195661,203591,-3.9,15024,-1215,3987
1531,13240,175681,171253,2.59,1199121,1.47,1.58,18.4972,69.9173,2.57,1.47,1531,高林股,1324566,1423570,-6.95,136675,212606,81943
1532,153095,90976,175510,-48.16,1118549,0.81,1.66,15.6078,65.2068,0.89,0.6,1532,勤美,1033630,840134,23.03,35,36215,90790
1533,-23223,114570,81006,41.43,757560,1.51,1.35,16.6511,55.7842,1.48,0.71,1533,車王電,717826,860952,-16.62,107933,133369,37783
16,10825539,4706043,12262084,-61.62,121136164,0.39,1.08,13.8097,62.1724,1.25,0.66,16,電器電纜類,43222733,48273802,-10.46,70410,1530175,4403524
1601,1234656,-66114,1154931,,2756160,-0.24,3.64,8.211,40.6557,1,0.34,1601,台光,1320436,1389286,-4.96,-51756,-79725,-12577
1602,1936419,4408607,2036418,116.49,31561634,1.4,0.67,14.1824,58.9962,1.14,0.45,1602,太電,6218457,5908691,5.24,-9016,116724,4424127
1603,-61161,-163109,2104,,3423000,-0.48,<<<<<,9.5935,38.8353,0.83,0.4,1603,華電,929409,1264817,-26.52,-62463,82418,-100646
1604,730072,793216,1212879,-34.6,11947249,0.66,1.16,11.8793,64.348,1.78,0.83,1604,聲寶,6483038,7774094,-16.61,206071,482807,587145
1605,5903482,170401,6313347,-97.3,36129762,0.05,2,15.7146,75.6224,1.49,1.08,1605,華新,8352024,10814868,-22.77,7754,409865,162647
1606,74294,41232,22550,82.85,5184000,0.08,0.05,11.7227,39.8081,0.9,0.54,1606,歌林,2483443,2299695,7.99,-127766,-57655,142984
1608,127072,-766400,175406,,6296254,-1.22,0.28,12.1405,71.2098,1.66,1.07,1608,華榮,2732384,3070759,-11.02,-21466,49507,-825059
1609,58175,21315,226392,-90.58,5425770,0.04,0.41,11.6573,60.0069,1.41,0.73,1609,大亞,2183185,2694555,-18.98,49007,228741,-35679
1611,177001,99172,242392,-59.09,3654789,0.27,0.68,12.5905,75.4512,2.85,2.18,1611,中電,1556061,1793391,-13.23,8492,110855,95921
1612,342406,10490,354417,-97.04,3321390,0.03,1.12,12.1175,76.7002,2.72,1.44,1612,宏泰,1008489,1172221,-13.97,-56586,10531,71511
1613,80190,-5038,112038,,4321974,-0.01,0.26,14.6837,42.3951,0.78,0.36,1613,台一,3058371,3592211,-14.86,62780,-24456,-205931
1614,191334,167504,272023,-38.42,3166040,0.53,0.88,15.1933,61.2253,2.35,1.93,1614,三洋電,3361550,3138743,7.1,85509,108321,113533
1615,-2344,-29724,-20080,48.03,882000,-0.34,-0.23,11.6179,45.8057,1.02,0.59,1615,大山,676449,654034,3.43,-41582,-39580,1367
1616,48823,-71680,68214,,916631,-0.78,0.74,18.7386,71.3821,1.85,0.89,1616,億泰,674158,721793,-6.6,-40498,13998,-35203
1617,362,96185,72157,33.3,955661,1.01,0.81,14.746,52.5819,1.31,1.08,1617,榮星,1465776,1432833,2.3,61766,97503,43562
1618,-15242,-14,16896,,1193850,(<<<<<),0.15,16.9835,50.6683,0.82,0.38,1618,合機,719503,551811,30.39,164,20321,-24178
17,585880,3279470,3241515,1.17,73978621,0.44,0.46,14.8427,59.5295,1.63,1.08,17,化學類,46881835,44021836,6.5,3243582,3046848,766341
1701,-58541,-39735,17127,,2509100,-0.16,0.07,13.454,53.1344,1.12,0.7,1701,中化,1186389,1242579,-4.52,36975,62379,-68939
1702,-74801,45503,-19287,,2796871,0.16,-0.07,8.2668,48.873,0.66,0.43,1702,南僑,655459,732818,-10.56,37947,55514,7556
1704,137023,117860,214001,-44.93,4717247,0.25,0.48,13.4546,66.7605,1.37,0.91,1704,榮化,3741370,3598218,3.98,60153,140839,111880
1707,-52531,-26011,-38492,-32.42,1308186,-0.2,-0.29,10.5714,74.3864,3.35,2.62,1707,葡萄王,443205,441578,0.37,-35145,16542,9134
1708,180564,97470,135689,-28.17,2104529,0.46,0.7,12.9035,71.4626,1.11,0.74,1708,東碱,793824,864997,-8.23,-44042,-15226,145686
1709,14287,106210,66555,59.58,1970848,0.54,0.35,12.8188,75.6424,2.94,1.39,1709,和益,1626698,1379972,17.88,111433,69568,17667
1710,39642,302131,343876,-12.14,5059020,0.6,0.67,11.1752,71.3207,1.21,0.88,1710,東聯,2245464,2468202,-9.02,244578,339575,93655
1711,-59615,75817,102196,-25.81,3878600,0.2,0.27,12.4426,65.4948,1.57,0.74,1711,永光,2021617,2015605,0.3,164486,139584,-109156
1712,1623,71691,75572,-5.14,3573319,0.2,0.22,11.287,66.7839,1.32,0.45,1712,興農,3190557,3212648,-0.69,109188,40672,-21777
1713,18627,52043,63124,-17.55,1509517,0.34,0.42,13.115,84.3387,11.16,7.71,1713,國化,416460,537583,-22.53,39528,63158,27932
1714,240274,243035,299409,-18.83,5109799,0.48,0.65,12.0304,54.5162,1.51,1.21,1714,和桐,5214120,3263841,59.75,125868,80545,200869
1715,144764,116817,223485,-47.73,3371924,0.35,0.86,13.4494,57.0344,0.88,0.5,1715,亞化,1464090,1383802,5.8,-7292,29193,129003
1716,-21308,221075,186011,18.85,2416535,0.91,0.77,18.3733,79.9145,2.57,1.79,1716,永信,1294710,1249086,3.65,313779,284684,-38102
1717,-113557,274256,536802,-48.91,5541752,0.49,1.09,15.5657,56.6683,1.91,1.22,1717,長興,5707883,6653059,-14.21,350691,751415,-20589
1718,-245454,206977,-85436,,9123038,0.23,-0.09,8.5627,35.4,0.79,0.39,1718,中纖,4535635,2740436,65.51,273136,139528,-68481
1720,-23935,63045,48943,28.81,1143521,0.55,0.45,12.4975,62.3623,3.82,2.86,1720,生達,564888,579701,-2.56,113281,92369,-33965
