stock,89年1-12月,稅後純益,89年1-12月,增減,期末股本,稅後純益,89年1-12月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,89年1-12月,增減,營業利益,89年1-12月,營業外
1225,-111601,-58574,-37926,,1995418,-0.29,-0.19,10.2573,63.0054,1.07,0.65,1225,福懋油,3354779,3595424,-6.69,65078,72684,-106513
1226,-398077,-423302,-503615,,2320000,-1.82,-2.17,3.1943,23.3453,0.26,0.03,1226,立大,485007,1521289,-68.12,-164538,-105081,-258764
1228,-195741,-161771,-362651,,648700,-2.49,-3.63,5.583,31.9324,0.65,0.44,1228,臺芳,948045,1963928,-51.73,-73508,-166910,-88222
1229,565760,166571,586963,-71.62,6612928,0.25,0.91,14.073,74.8284,1.33,0.9,1229,聯華,1421572,1553580,-8.5,-18252,13835,179276
1231,2248,85985,129056,-33.37,1154190,0.74,1.15,14.5326,60.3074,1.8,0.72,1231,聯華食,1837020,1639510,12.05,106667,165986,2005
1232,-51737,319310,230271,38.67,1509197,2.12,1.53,13.4887,57.234,1.22,0.53,1232,大統益,6173896,5437137,13.55,427440,313626,-25552
1233,-16395,67259,49761,35.16,829045,0.81,0.62,11.6309,72.3132,2.06,1.25,1233,天仁,1159131,1107866,4.63,97839,97362,-5220
1234,5820,258462,382409,-32.41,5358281,0.48,0.73,14.4324,65.9372,1.91,1.53,1234,黑松,3784123,4034377,-6.2,373669,480689,-13007
1235,-14448,77643,44560,74.24,373368,2.08,1.19,15.254,68.6061,3.55,2.93,1235,興泰,1120615,1018453,10.03,101075,77411,4033
1236,-71149,40230,65659,-38.73,612839,0.66,1.07,12.2653,51.7263,0.89,0.66,1236,宏亞,1181158,1325546,-10.89,91714,162033,-36075
13,12639357,8008809,35236270,-77.27,167742153,0.48,2.24,17.6515694895129,52.4992623377995,1.1682902104727,0.584133921291523,13,塑膠類,229084497,246484539,-7.06,12095258,16527138,-8285384
1301,6246592,6705898,12897406,-48.01,42380687,1.58,3.35,21.2433,54.6815,1.44,0.66,1301,臺塑,59813814,51773413,15.53,4068895,4327836,1482113
1303,7895895,7861369,21042678,-62.64,58079248,1.35,4.02,22.1985,52.7435,1.08,0.5,1303,南亞,95400647,107928031,-11.61,8666737,9720354,-3993492
1304,81255,-232684,-79988,,7714032,-0.3,-0.1,11.9377,66.8063,3.22,0.86,1304,臺聚,5104400,5020783,1.67,48317,-285029,-262656
1305,-422348,-999654,-595219,,4248035,-2.35,-1.4,9.7397,47.6517,1.65,1.04,1305,華夏,6029357,7279520,-17.17,-3131,-343588,-836205
1306,-69638,80586,49250,63.63,483840,1.67,1.14,14.2383,38.7132,1.17,0.62,1306,合發,1673557,1584094,5.65,151717,136108,-35107
1307,-21830,77229,114297,-32.43,2069490,0.37,0.55,13.0429,61.031,2.15,1.45,1307,三芳,3753012,3827516,-1.95,203830,136092,-92690
1308,6740,-91740,-63169,,2279277,-0.4,-0.28,15.1325,82.8668,2.43,1.83,1308,亞聚,2415223,2548448,-5.23,-21082,-96165,-72601
1309,1494,-148762,35250,,2626219,-0.57,0.13,13.9952,77.1664,2.27,1.4,1309,臺達化,4090405,4406706,-7.18,-80775,36423,-102456
1310,-120684,-321904,700015,,4851510,-0.66,1.52,11.6338,62.2631,0.84,0.39,1310,台苯,4875439,7967738,-38.81,-280248,1091698,-119717
1311,23021,270374,95303,183.7,2566783,1.05,0.37,14.8171,78.9513,3.09,1.6,1311,福聚,6760008,6902033,-2.06,333221,109682,-23547
1312,-167528,-1949829,830834,,6598242,-2.96,1.28,8.9875,38.8734,0.65,0.34,1312,國喬,6979994,9301110,-24.96,-312729,956531,-1833327
1313,169516,6650,239522,-97.22,7017370,<<<<<,0.35,12.551,69.1545,1.57,0.82,1313,聯成,3179403,3306671,-3.85,12032,23139,73097
1314,-699922,-3476168,91629,,14828689,-2.34,0.06,10.0866,28.719,0.54,0.29,1314,中石化,13868367,18390664,-24.59,-1181648,782227,-2318464
1315,7290,189531,106135,78.58,2415227,0.78,0.44,13.701,66.4065,2.33,1.8,1315,達新,3069364,3135964,-2.12,183370,126774,25522
1316,-192588,-235962,-470289,,1403322,-1.68,-3.35,5.8881,54.7974,0.44,0.21,1316,上曜,761514,1161539,-34.44,-51828,-277701,-24511
1319,-236539,267904,-99497,,3883230,0.69,-0.25,11.7565,51.9924,0.95,0.76,1319,東陽,5394809,5508385,-2.06,366947,165545,-139675
1321,-61564,-105422,-210251,,2080845,-0.51,-1.01,12.1935,61.6966,1.57,0.76,1321,大洋,3808322,4049010,-5.94,-30432,-192844,-100336
1323,6281,36233,37784,-4.1,693933,0.52,0.53,12.4269,67.9377,2.42,1.86,1323,永裕,855418,973076,-12.09,24016,39509,20622
1324,44575,62305,323001,-80.71,625774,1,6.19,14.8539,72.4447,2.79,2.47,1324,地球,927131,970445,-4.46,-9663,6530,52458
1325,149339,12855,191579,-93.29,896400,0.14,2.38,12.3001,77.685,2.44,1.82,1325,恒大,324313,449393,-27.83,7712,64017,15588
14,-8322995,-26860063,-1451146,,300778958,-0.89,-0.05,11.5363351980227,48.4808075830144,1.02245361283337,0.338264740922359,14,紡織纖維類,296914191,323268785,-8.15,1078327,2471625,-27423869
1402,910661,723630,228571,216.59,32035233,0.23,0.07,15.7454,50.6604,1.03,0.47,1402,遠紡,31882810,32599969,-2.2,-263716,-682090,987346
1407,-3245211,-14080443,-4256872,,24345602,-5.78,-1.75,2.6309,16.489,0.32,0.07,1407,華隆,18668915,25558018,-26.95,-1312364,-1201857,-14219716
1408,-1075225,-2881409,-1853338,,9084506,-3.17,-2.04,5.8285,25.5827,0.49,0.11,1408,中紡,8633077,9873383,-12.56,-1249085,-778113,-1632298
1409,-197458,-378450,-1024152,,13253409,-0.29,-0.77,8.3228,47.2942,0.75,0.34,1409,新纖,12667264,13668853,-7.33,-187634,-775196,-163538
1410,-69260,-80757,-118403,,900000,-0.9,-1.32,10.6748,83.886,2.16,1.84,1410,南染,384193,580615,-33.83,-66217,-85233,-39493
1413,-91400,-436446,-407739,,2836457,-1.54,-1.44,7.9304,53.2798,0.69,0.19,1413,宏洲,2818801,3428721,-17.79,-439934,-390768,-62104
1414,-294840,-513137,-623561,,3515775,-1.46,-1.77,5.5411,29.9099,0.39,0.21,1414,東和,3341374,3359492,-0.54,-312265,-336647,-191682
1416,-961760,-761361,-1151674,,5497834,-1.38,-2.09,9.4538,48.7416,0.91,0.39,1416,廣豐,2376750,2311137,2.84,-161140,-162927,-486474
1417,255162,624,52682,-98.82,4157493,<<<<<,0.13,11.0372,68.8938,1.12,0.68,1417,嘉裕,1899007,2090590,-9.16,-113818,-252590,115206
1418,289015,-542675,105895,,2638553,-2.06,0.4,10.7724,59.2012,1.19,0.75,1418,東華,1924041,2148034,-10.43,-361333,-186506,-182184
1419,-220236,-122129,-228488,,2904000,-0.42,-0.79,11.3882,46.8056,0.34,0.28,1419,新紡,760945,873350,-12.87,-54749,-6123,-62180
1420,-581057,724552,-373228,,7880511,0.92,-0.47,10.0254,38.0211,0.68,0.16,1420,潤泰,9042214,9734761,-7.11,188815,114104,564793
1422,-863192,-676942,-930798,,1800000,-3.76,-5.17,3.1189,13.0182,0.96,0.11,1422,民興,376596,1423861,-73.55,-54897,-13706,-627244
1423,10284,123672,63835,93.74,1793000,0.69,0.36,12.8664,77.1811,6.06,1.68,1423,利華,2489411,2143463,16.14,144825,69546,22233
1432,-236734,-208960,-264227,,2077654,-1.01,-1.27,5.5245,23.2567,0.79,0.15,1432,大魯閣,1569730,1932141,-18.76,21620,-28470,-230580
1433,3895769,4609621,12684367,-63.66,39439172,1.17,3.47,22.5773,48.9215,1.85,0.49,1433,臺化,67536776,64148339,5.28,3828490,4427263,781131
1434,253960,1017035,2287214,-55.53,14819801,0.69,1.64,13.1052,59.7895,1.81,0.95,1434,褔懋,16330971,17025384,-4.08,1756970,2162910,-912765
1435,-49806,-56147,-91733,,1397801,-0.4,-0.66,10.6065,69.7242,0.99,0.51,1435,中褔,390660,509790,-23.37,-83414,-49061,20903
1436,-28071,90620,-292733,,3000000,0.3,-0.92,11.7429,65.2093,2.31,0.3,1436,褔益,187932,571712,-67.13,-208513,-265732,299133
1437,106733,-134527,21853,,1572008,-0.86,0.14,12.8011,63.5067,1.22,0.63,1437,勤益,733317,677968,8.16,-111138,-96327,-25287
1438,-409858,-199655,-512013,,1024115,-1.95,-5,3.8386,23.2872,0.51,0.08,1438,裕豐,443648,461577,-3.88,-108702,-102155,-90953
1439,21404,104216,41095,153.6,1085400,0.96,0.38,12.8541,61.6772,2.8,1.41,1439,中和,1179679,1335362,-11.66,50297,23548,68589
1440,295787,-973895,14692,,15013380,-0.65,<<<<<,11.8683,60.8694,1.5,0.36,1440,南紡,9446614,10426417,-9.4,-592494,-279667,-45467
1441,-126419,-450956,-196919,,1625006,-2.78,-1.14,9.1764,44.6407,0.89,0.21,1441,大東,1866582,2258993,-17.37,-229342,-63439,-204365
1442,-593761,-208895,-600514,,995790,-2.1,-3.02,10.9715,52.714,1.54,0.31,1442,名軒開發,416624,2579380,-83.85,-42447,-40313,-179972
1443,-146144,-284355,-246465,,3010900,-0.94,-0.82,10.2828,66.6394,1.16,0.67,1443,立益,801625,552096,45.2,-92094,-40405,-179783
1444,-858813,-465498,-1098901,,7314000,-0.64,-1.37,9.9758,63.7039,0.71,0.39,1444,力麗,5340556,6265941,-14.77,83117,-240088,-548615
1445,28903,43782,51444,-14.89,1780010,0.25,0.26,12.1756,62.4243,1.76,1.02,1445,大宇,2501827,2522444,-0.82,107543,31623,2891
1446,-11460,-1135252,15408,,3338158,-3.4,0.05,10.1317,55.4627,0.77,0.3,1446,宏和,3853678,7331948,-47.44,-341420,21825,-803832
1447,-502552,-205724,-373276,,5706875,-0.36,-0.59,11.0038,54.2502,1.11,0.52,1447,力鵬,8548712,8459603,1.05,213982,79276,-347706
1449,-501350,-253906,-319318,,6668541,-0.38,-0.48,7.9344,48.7113,0.81,0.21,1449,佳和,4727630,5149431,-8.19,297475,193315,-601839
1450,-51230,-581666,75750,,2740072,-2.12,0.27,10.557,49.1237,0.41,0.22,1450,新藝,1570063,1681137,-6.61,-191884,59591,-389782
1451,338181,1560666,1152435,35.42,5983691,2.61,2.31,15.483,84.0807,2.09,1.12,1451,年興,6173984,5901682,4.61,1375525,1087747,518100
1452,-251462,86253,-196017,,1892900,0.46,-1.04,9.5953,72.3442,1.24,0.99,1452,宏益,1671447,1769541,-5.54,42916,-15674,46121
1453,-317088,56957,-395010,,1493884,0.38,-2.64,8.1739,47.7075,1.12,0.39,1453,大將,2594742,714260,263.28,-16662,-92580,69683
1454,-33595,55248,61532,-10.21,1472000,0.38,0.39,12.1373,62.8414,1.19,0.6,1454,台富,2776770,2796612,-0.71,198312,127281,-85064
1455,-47226,118380,16100,635.28,4060224,0.29,0.04,12.3768,66.7783,0.89,0.49,1455,集盛,5158305,3779624,36.48,49183,-113354,51948
1456,-42682,-517271,-272016,,3872831,-1.34,-0.7,5.4122,29.852,0.74,0.29,1456,怡華,3575433,3977258,-10.1,-196515,-88586,-269860
1457,55685,1439,3577,-59.77,3723200,<<<<<,<<<<<,11.0768,50.8727,0.62,0.33,1457,宜進,3376872,3608105,-6.41,65556,-52674,-63291
1458,-551137,-2802128,-999900,,5650000,-4.96,-1.77,3.0895,26.5999,0.27,0.17,1458,嘉畜,2375235,3531050,-32.73,-651717,-448687,-2150411
1459,-169758,91010,2281,+++++,3533776,0.26,<<<<<,11.6966,66.578,0.67,0.43,1459,聯發,2486200,2465266,0.85,116547,169839,-27237
1460,15947,240363,69387,246.41,4651255,0.52,0.13,13.2354,67.9288,1.55,0.35,1460,宏遠,5536021,7395033,-25.14,113555,65359,126808
1462,-1576116,-7979320,-1672795,,22224139,-3.59,-0.75,6.5603,32.6695,1.33,0.08,1462,東雲,9860117,13562257,-27.3,-878248,-307919,-6199005
1463,23977,-19108,153464,,2013167,-0.09,0.76,10.9561,86.1135,1.81,0.98,1463,強盛,1199145,1744905,-31.28,-46596,159090,13592
1464,-105525,217681,18222,+++++,2396194,0.91,0.08,7.4807,55.3012,3.13,1.44,1464,得力,2803636,3228577,-13.16,242010,129957,-13256
1465,27985,139343,128419,8.51,1073609,1.3,1.13,16.5549,88.3254,5.42,3.84,1465,偉全,1955487,1997672,-2.11,138592,130710,32999
1466,-204756,-434325,-537083,,1150303,-3.78,-2.02,6.2243,26.4536,0.24,0.04,1466,聚隆,1758103,2137776,-17.76,-214539,-315064,-192329
1467,-120318,18753,1069,+++++,987360,0.19,0.01,13.2381,50.436,0.59,0.4,1467,南緯,1991231,2818265,-29.35,143030,159341,-98552
1468,-18632,55347,110482,-49.9,1604053,0.34,0.74,12.3674,73.1363,2.07,1.17,1468,昶和,1182432,1584137,-25.36,44100,140465,10259
1469,-164254,27439,-91975,,1246000,0.22,-0.81,16.1985,72.4452,1.07,0.44,1469,理隆,882646,933805,-5.48,39630,74411,-10191
1470,-41282,-47315,-30465,,857670,-0.55,-0.36,9.7125,67.7442,1.01,0.73,1470,大統染,717056,808454,-11.31,-32286,-293,-16529
1471,-170122,-92529,-99012,,1171280,-0.79,-0.85,10.4705,52.6582,1.02,0.71,1471,首利,2481271,2809103,-11.67,11031,46110,-83560
1472,-84000,-17087,-98698,,690000,-0.25,-1.43,15.342,84.8442,2.19,1.01,1472,三洋纖,1000554,808052,23.82,-24566,-24698,6479
1473,302365,496060,425277,16.64,1160902,4.27,4.48,24.2177,73.7772,1.65,0.85,1473,台南,3647559,3246633,12.35,182961,242548,387884
1474,1258,110226,121770,-9.48,730635,1.51,2,12.7684,52.4095,1.7,1.05,1474,弘裕,2804951,2685350,4.45,136060,155105,8895
1475,-140319,-102578,-129031,,976721,-1.05,-1.32,8.7786,41.4293,1.01,0.14,1475,本盟,1224852,1854698,-33.96,-1786,-27240,-93651
1476,-1962,71866,128387,-44.02,912108,0.79,1.41,13.8092,55.8173,1.16,0.6,1476,儒鴻,2968120,3426760,-13.38,127700,164843,-28067
15,-747397,5039625,4312896,16.850139674130794,71221861,0.7075973200257369,0.6193676148682626,14.628188405815415,54.178049757540514,1.436834912432588,0.833693245164366,15,電機機械類,99007054,106124005,-6.706259342549313,4284833,5494594,1416643
1503,-168490,311207,510596,-39.05,5209722,0.6,1.02,17.1838,56.6464,1.37,0.87,1503,士電,9658110,10163127,-4.97,598215,799469,-226162
1504,610679,101583,1314359,-92.27,19421203,0.05,0.73,16.5914,57.0072,1.47,1.04,1504,東元,20310290,20818479,-2.44,-811719,468885,714581
1506,-92162,-4802,1506,,1022516,-0.05,0.01,11.2722,41.3873,0.52,0.27,1506,正道,720082,861879,-16.45,36910,59234,-39974
1507,65468,401486,139412,187.99,4108200,0.98,0.34,17.2647,75.2437,2.59,1.78,1507,永大,2959885,3511882,-15.72,219152,79264,201615
1510,-171669,-177619,108068,,2280434,-0.78,0.49,12.9844,38.5053,1.54,0.59,1510,台安,5522812,6154295,-10.26,-62392,269800,-160591
1512,-151837,10678,-19388,,1765073,0.06,-0.11,11.2056,54.9801,1.46,0.86,1512,瑞利,2503272,2851008,-12.2,38324,164373,-22878
1513,-413295,485048,-626544,,6233040,0.78,-1.01,10.9823,37.5767,1.49,0.43,1513,中興電,9456705,9690096,-2.41,709546,-479280,-123643
1514,-27026,131323,183706,-28.51,1982173,0.66,0.93,12.4162,57.8472,1.76,1.08,1514,亞力,3005079,3254848,-7.67,177036,268676,-49741
1515,-278204,6488,67237,-90.35,2497131,0.03,0.27,11.8235,45.3338,1.53,1.13,1515,力山,3837220,5396970,-28.9,225158,422145,-249758
1516,-487752,-160156,-512234,,1542362,-1.04,-3.32,8.2431,60.3734,1.14,0.57,1516,川飛,752084,1061824,-29.17,-18931,-13768,-145602
1517,-288228,-321121,-343408,,2312673,-1.39,-1.48,9.9268,81.538,3.39,2.79,1517,利奇,1397335,2121590,-34.14,-374717,-95008,17712
1518,-79080,-133836,36392,,1847422,-0.72,0.18,10.7865,61.7993,1.53,0.46,1518,夆典,2876774,2987099,-3.69,35659,127033,-184716
1519,-64042,187837,219715,-14.51,2195604,0.86,1.1,10.6741,53.133,1.19,0.98,1519,華城,2554024,3077790,-17.02,232312,329874,1004
1520,541226,2177374,1177314,84.94,3562872,6.11,4.27,18.6228,57.8041,1.49,1.14,1520,復盛,5212664,4224951,23.38,975233,864164,1499475
1521,-40869,71626,131596,-45.57,762300,0.94,1.73,13.9492,48.5328,1.37,0.94,1521,大億,2042139,2423258,-15.73,51143,188290,2486
1522,36362,284465,85346,233.31,1696484,1.68,0.52,19.9869,46.641,1.02,0.78,1522,堤維西,4419901,3861649,14.46,318537,19678,11038
1523,3187,115415,-44734,,1449349,0.8,-0.31,14.3052,47.0806,0.61,0.47,1523,開億,3157887,2874620,9.85,164059,-68323,-19269
1524,2278,59883,32906,81.98,1052670,0.57,0.33,12.6705,50.9934,0.8,0.5,1524,耿鼎,1498959,1191581,25.8,90811,27950,-10750
1525,15191,55868,66588,-16.1,410571,1.36,1.62,20.3687,76.2397,3.67,2.67,1525,江申,730220,909588,-19.72,21880,62897,34988
1526,-17121,-113464,-18800,,787971,-1.44,-0.24,10.3519,49.6214,0.92,0.38,1526,日馳,651309,819129,-20.49,-96312,-18598,-47261
1527,65804,557656,467769,19.22,1297750,4.3,4.35,15.7221,62.554,2.66,2.34,1527,鑽全,1863689,1808635,3.04,623192,539208,86758
1528,1414,507,105557,-99.52,800000,<<<<<,1.47,13.6111,50.3657,1.66,0.99,1528,恩德,1875101,2263482,-17.16,106513,129560,-103455
1529,-28496,23487,29035,-19.11,713083,0.33,0.43,11.9374,52.4667,1.45,0.83,1529,樂士,1003255,1237878,-18.95,31649,69090,-11145
1530,600,18028,27324,-34.02,476011,0.38,0.59,11.1492,77.5089,3.64,2.3,1530,亞崴,432886,485077,-10.76,19299,34644,7097
1531,56789,254733,366001,-30.4,1199121,2.12,3.38,19.3409,82.7131,5.21,2.65,1531,高林股,2124349,2783786,-23.69,216147,423842,90810
1532,163533,125436,188988,-33.63,1118549,1.12,1.79,15.7801,64.6035,0.97,0.61,1532,勤美,1804533,2041153,-11.59,-15793,30461,152918
1533,28899,304758,267385,13.98,757560,4.02,4.16,19.1947,58.0602,1.45,0.69,1533,車王電,1788120,1788362,-0.01,313945,312886,76916
1534,-47561,12703,84980,-85.05,888977,0.14,1.1,12.7403,34.4532,1.04,0.28,1534,新企,1576878,1951699,-19.2,127431,154397,-108397
1535,34348,65521,109633,-40.24,855373,0.77,1.35,11.8377,40.4946,1.46,0.97,1535,中宇,1500692,1846953,-18.75,67289,110497,35664
1536,-22344,25700,36158,-28.92,512667,0.5,0.78,11.7285,45.5777,1.01,0.71,1536,和大,629668,752588,-16.33,56205,68746,-23882
1537,5001,161813,120433,34.36,463000,3.49,2.96,15.5313,53.0415,1.5,0.88,1537,廣隆,1141132,908729,25.57,209052,144508,10805
16,9667834,-12134113,12018715,,120994147,-1,1.05,12.390373808743,61.335649138988,1.20819090549544,0.648347784702411,16,電器電纜類,84393210,93109885,-9.36,-1797888,2397320,-10437000
1601,1075878,-283235,910269,,2756160,-1.03,2.87,7.4413,39.0563,0.93,0.36,1601,台光,2680121,2720811,-1.5,-129146,-166998,-165821
1602,189714,-5615682,676104,,31561634,-1.78,0.22,11.195,56.8167,1.14,0.44,1602,太電,12081908,11692913,3.33,-107422,506986,-5465100
1603,-507920,-377056,-406678,,3423000,-1.1,-1.19,8.983,36.5889,0.79,0.36,1603,華電,2066764,2435953,-15.16,-129651,110885,-247405
1604,1435653,845885,2103740,-59.79,11947249,0.71,2.01,11.9132,64.9772,2.31,1.24,1604,聲寶,12586281,14342291,-12.24,94320,668087,751565
1605,7188228,-2152520,7503159,,36129763,-0.6,2.37,14.8209,75.286,1.44,0.97,1605,華新,16971251,20029357,-15.27,256232,314931,-2408752
1606,199254,-269327,-84165,,5184000,-0.52,-0.16,10.7456,37.9998,0.91,0.5,1606,歌林,4115323,4215400,-2.37,-291269,-297333,-45999
1608,-66020,-760839,69833,,6296254,-1.21,0.11,12.0008,72.0771,1.95,1.48,1608,華榮,5757131,6161494,-6.56,190079,118068,-1041415
1609,-325607,71029,23850,197.82,5245770,0.14,0.04,11.8952,61.9652,1.38,0.69,1609,大亞,4490160,5079461,-11.6,145836,340912,-97274
1611,191424,167267,225866,-25.94,3601108,0.46,0.63,12.9811,76.5813,3.08,2.44,1611,中電,3136515,3405613,-7.9,61458,69578,124976
1612,369055,-109524,443537,,3321390,-0.33,1.4,11.7257,76.8639,3.3,1.81,1612,宏泰,2218126,2736569,-18.95,-127078,103833,-15221
1613,-140739,-3995742,108320,,4321974,-9.25,0.25,5.9185,24.5371,0.22,0.08,1613,台一,4395126,7637775,-42.46,-2053613,259334,-1909603
1614,131600,227402,266184,-14.57,3166040,0.72,0.86,15.367,67.145,2.6,2.15,1614,三洋電,6134149,5574116,10.05,115429,167773,159343
1615,-44628,-36529,-80822,,882000,-0.41,-0.92,11.5408,47.8149,0.85,0.45,1615,大山,1478889,1333340,10.92,-43460,-73719,-11964
1616,22128,-52621,60908,,1008294,-0.52,0.6,17.316,69.1436,1.49,0.75,1616,億泰,1390794,1518491,-8.41,-30431,26911,-22469
1617,-18044,164422,147720,11.31,955661,1.72,1.65,15.5022,56.2835,1.4,1.15,1617,榮星,3059932,2987403,2.43,163219,210040,30791
1618,-32142,42957,50890,-15.59,1193850,0.36,0.45,17.3584,49.2774,1.05,0.57,1618,合機,1830740,1238898,47.77,87609,38032,-72652
17,-2297367,5988839,3136605,90.93,75980815,0.79,0.43,15.1540130228927,59.8932694765452,1.67452737284882,1.1370699290056,17,化學類,97416327,92392630,5.44,6808507,6210618,177148
1701,-198473,-125631,-46511,,2509100,-0.5,-0.19,13.0705,52.2937,1.08,0.67,1701,中化,2402887,2484501,-3.28,40929,110537,-177789
1702,-224058,51488,-116657,,2796871,0.18,-0.42,8.5089,48.613,0.66,0.45,1702,南僑,1361009,1467934,-7.28,68640,107401,-17152
1704,193764,214198,386910,-44.64,4717247,0.45,0.86,13.3502,59.611,1.74,1.16,1704,榮化,7242985,7734122,-6.35,276490,311960,45408
1707,-93992,9392,-92007,,1308186,0.07,-0.7,10.8052,74.1583,3.51,2.54,1707,葡萄王,999158,938337,6.48,41889,2018,-32497
1708,318693,21336,189855,-88.76,2104529,0.1,0.98,12.4806,69.9025,1.16,0.73,1708,東碱,1547357,1622881,-4.65,-74125,-78894,97499
1709,-3970,218124,133504,63.38,1970848,1.11,0.7,13.3881,77.1391,3.33,2.01,1709,和益,3405925,2971477,14.62,242561,170312,29168
1710,7858,443826,393498,12.79,4959070,0.9,0.77,11.5429,68.307,1.14,0.49,1710,東聯,4458136,4912513,-9.25,411259,425707,102031
1711,-200570,110371,159240,-30.69,3878600,0.28,0.43,12.4787,68.9314,1.49,0.75,1711,永光,3961233,3839275,3.18,295610,277353,-202123
1712,-63869,168341,49070,243.06,3572729,0.47,0.14,11.5463,66.7941,1.32,0.5,1712,興農,6419862,6287775,2.1,188556,94542,-103355
1713,40619,67226,124703,-46.09,1509517,0.45,0.83,13.218,84.8576,9.87,7.19,1713,國化,839451,1003305,-16.33,69754,123920,14018
1714,378069,602047,424970,41.67,5111508,1.18,0.91,12.6831,56.8888,1.46,1.06,1714,和桐,8765325,6770388,29.47,180375,103824,498863
1715,651781,48326,913287,-94.71,3371924,0.14,3.51,13.4355,59.193,0.8,0.41,1715,亞化,3192144,2839470,12.42,117666,28596,-51919
