stock,94年1-6月,稅後純益,94年1-6月,增減(%),期末股本,稅後純益,94年1-6月,每股淨值,淨值占總資產(%)(B),流動比率,速動比率,公司,,營業收入,94年1-6月,增減(%),營業利益,94年1-6月,營業外
1410,-31491,-7579,-32179,,900000,-0.08,-0.36,12.44,79.7533,5.64,4.83,1410,南染,184517,187339,-1.51,-3698,2995,-5314
1413,4424,-119357,-209641,,2836457,-0.43,-0.75,6.85,51.6805,0.9,0.21,1413,宏洲,2035728,1861981,9.33,-143941,-252718,6139
1414,-141415,13393,-297456,,2200000,0.06,-1.35,7.26,32.2435,0.44,0.19,1414,東和,1895376,2005961,-5.51,-50611,-156041,64004
1416,-64794,11649,-118063,,5497834,0.03,-0.25,10.05,71.1271,0.77,0.42,1416,廣豐,256060,491397,-47.89,-48013,-39218,59769
1417,-62278,20384,-154330,,3798837,0.05,-0.41,10.5,77.7825,1.59,0.35,1417,嘉裕,809315,762754,6.1,-76745,-62897,87185
1418,-362696,-38804,-434606,,2638553,-0.16,-1.81,8.07,54.8131,0.96,0.38,1418,東華,1655060,1280983,29.2,-161160,-129759,115528
1419,43278,30593,14693,108.21,2976600,0.11,0.05,15.98,67.3851,0.44,0.06,1419,新紡,264291,340456,-22.37,-26898,-36835,56433
1423,3970,42966,-48547,,1793000,0.24,-0.27,13.6,86.8094,19.84,3.76,1423,利華,1103282,1129107,-2.29,-3895,-52517,42828
1432,-60833,-44025,-323570,,538703,-0.88,-6.45,6.03,11.6011,0.54,0.01,1432,大魯閣,519077,5714,+++++,-86915,-6929,114851
1434,106848,756347,417587,81.12,16846646,0.45,0.25,24.41,72.0783,1.88,0.55,1434,福懋,13463251,13198097,2.01,589394,558373,509168
1438,-11795,-29414,-20768,,1024115,-0.31,-0.22,2.1,20.5393,0.38,0.02,1438,裕豐,20812,94189,-77.9,-9948,-8973,-19466
1439,-4425,-99241,-3875,,920000,-1.08,-0.04,13.93,68.1577,1.82,1.5,1439,中和,380067,544804,-30.24,-117569,1015,18104
1440,249512,85734,100148,-14.39,14935240,0.06,0.07,14.54,77.3381,1.89,0.68,1440,南紡,6468510,7182329,-9.94,-53413,-136887,185426
1441,6846,-2859,-25773,,1079004,-0.03,-0.24,6.48,32.2318,0.91,0.28,1441,大東,804221,620488,29.61,16554,-14161,-42592
1442,-7997,33316,3222,934.02,2197053,0.15,0.02,5.74,55.4869,1.98,0.07,1442,名軒,133632,82689,61.61,28179,11644,5137
1443,-13195,-35223,-48073,,3010900,-0.13,-0.17,9.09,54.812,0.81,0.16,1443,立益,499049,358442,39.23,13098,-34878,-48321
1444,47636,-124498,-127071,,7314000,-0.17,-0.17,9.3,58.5906,1.61,0.36,1444,力麗,3420157,3572434,-4.26,-164900,-188307,17180
1445,-20575,2465,-38080,,1795510,0.02,-0.23,11.09,73.7402,5.07,2.24,1445,大宇,1003153,1057628,-5.15,-2406,-17662,6864
1446,-353187,-41215,-373335,,2238702,-0.18,-1.67,8.23,55.067,1.14,0.24,1446,宏和,670641,839700,-20.13,-64313,-19066,20031
1447,19248,173984,201307,-13.57,5706875,0.3,0.35,12.18,54.2831,1.34,0.68,1447,力鵬,8011348,6376591,25.64,183853,156059,12284
1449,-708133,-401037,-806755,,4159869,-1.33,-1.79,9.12,44.3462,1.64,0.31,1449,佳和,1713177,2223871,-22.96,-296016,-108977,-131657
1451,457996,738918,480456,53.8,5983691,1.23,0.8,18.58,72.6275,1.48,0.64,1451,年興,5126308,5107842,0.36,68569,104171,808134
1452,-39452,3531,-45218,,1490390,0.02,-0.25,12.76,91.2868,7.37,2.43,1452,宏益,907320,1007434,-9.94,2683,6421,-5667
1454,-22087,-14556,-36885,,1461397,-0.11,-0.26,11.62,68.893,1.55,0.5,1454,台富,1048092,1113881,-5.91,-24118,-22806,5921
1455,12180,30383,16779,81.08,4720904,0.06,0.04,11.9,51.5117,1.23,0.52,1455,集盛,5083270,4534586,12.1,15597,30283,31022
1456,-92833,-97969,-127347,,2236560,-0.44,-0.57,5.77,21.3726,0.82,0.24,1456,怡華,1475485,1540851,-4.24,-51178,-31163,-41508
1457,-70812,-106701,4490,,3653200,-0.31,0.01,9.26,51.8695,0.66,0.33,1457,宜進,1741724,1857723,-6.24,-49905,-21394,-61031
1459,-65480,-2487,-153108,,3596570,-0.01,-0.47,11.87,64.6459,1.31,0.85,1459,聯發,1564994,1397721,11.97,-16230,-54628,13244
1460,-26784,70757,45604,55.16,5005161,0.16,0.1,11.76,67.0164,4.36,0.87,1460,宏遠,2776442,2876502,-3.48,70295,72388,2471
1463,15222,-19991,11755,,1937897,-0.12,0.07,12.08,89.1061,3.81,1.44,1463,強盛,393671,411053,-4.23,-28452,-3703,8461
1464,-3839,-39784,-95598,,1755960,-0.23,-0.54,10.77,74.794,1.63,0.54,1464,得力,694514,871858,-20.34,-43034,-92110,3676
1465,26278,42474,21127,101.04,863394,0.49,0.24,17.63,84.7788,3.08,1.85,1465,偉全,845829,703027,20.31,11824,-2766,31776
1466,-144535,52435,-131965,,715978,0.73,-1.84,7.26,26.1186,0.79,0.31,1466,聚隆,1528623,1690251,-9.56,78228,20585,-27110
1467,4594,122238,34608,253.21,1402297,0.88,0.24,12.68,46.3518,1.32,0.7,1467,南緯,1679109,1219221,37.72,59269,56714,99981
