stock,92年1-9月,稅後純益,92年1-9月,增減(%),期末股本,稅後純益,92年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,,公司,,營業收入,92年1-9月,增減(%),營業利益,92年1-9月,營業外
1210,38593,-27819,133510,,4020278,-0.07,0.34,11.597,48.1998,1.13,0.56,1210.0,1210,大成,11639639,10973511,6.07,-9063,141497,-36372
1212,-204086,-371946,-412776,,2731664,-1.36,-1.51,1.2085,7.1808,0.41,0.23,1212.0,1212,中日,1995519,3160383,-36.86,-46802,-205374,-326822
1213,-3064,12636,10106,25.03,428959,0.29,0.24,13.6212,78.7016,2.71,2.32,1213.0,1213,大飲,527660,516314,2.2,17693,18960,1382
1215,-72398,-10597,-34435,,2320268,-0.05,-0.15,9.9588,48.4888,1.52,0.74,1215.0,1215,卜蜂,9678712,8346125,15.97,23206,46886,-15106
1216,2691303,1790329,2871313,-37.65,33753848,0.53,0.85,12.3216,54.5404,1.04,0.64,1216.0,1216,統一,31578499,28433761,11.06,90320,221999,1767756
1217,-85152,88205,199553,-55.8,3639628,0.24,0.55,10.1547,44.3077,0.91,0.57,1217.0,1217,愛之味,3426809,3394697,0.95,193961,302460,-98733
1218,-35798,49129,13332,268.5,3362299,0.15,0.04,9.6544,41.2325,1.18,0.67,1218.0,1218,泰山,3718272,3559623,4.46,-21059,30730,67488
1219,14873,-36979,5742,,2722294,-0.14,0.02,12.1148,63.6963,3.54,2.26,1219.0,1219,福壽,4164381,3740638,11.33,-49244,27958,10397
1220,-41779,-87952,-166088,,1770779,-0.5,-0.94,9.5926,67.2325,1.47,1.05,1220.0,1220,台榮,1589121,1323337,20.08,-121786,-103573,17782
1225,-29001,-147568,-9436,,1627000,-0.91,-0.05,10.7268,49.8746,1.11,0.61,1225.0,1225,福懋油,3964883,3160458,25.45,-88703,19565,-60403
1229,283056,859572,511339,68.1,6623690,1.3,0.77,15.55,78.1315,1.47,0.9,1229.0,1229,聯華,1339465,1366886,-2.01,16175,-9451,846738
1231,-29368,32566,72003,-54.77,1154190,0.28,0.62,14.5191,56.0145,1.75,0.95,1231.0,1231,聯華食,2288042,2468783,-7.32,77158,101480,-48272
1232,28334,129989,230407,-43.58,1599749,0.81,1.44,12.9418,56.027,1.55,0.76,1232.0,1232,大統益,7253854,6077248,19.36,153566,272249,-2548
1233,5229,145118,98224,47.74,879533,1.65,1.15,12.4338,68.1326,1.43,0.87,1233.0,1233,天仁,1211429,1020960,18.66,165786,133175,9712
1234,96917,134214,271810,-50.62,5358281,0.25,0.51,14.5798,79.1795,2.34,1.96,1234.0,1234,黑松,2874913,3107754,-7.49,267896,292893,-65682
1235,11095,36283,47492,-23.6,411638,0.88,1.15,13.5169,61.389,2.45,1.85,1235.0,1235,興泰,1002858,895953,11.93,21869,49031,20011
1236,3487,92139,78538,17.32,715808,1.29,1.18,13.3063,59.4917,1.13,0.84,1236.0,1236,宏亞,1070246,957494,11.78,119975,102748,5992
03,12438506,119992322,52844566,127.07,324008342,3.92,1.73,21.489438692495,53.3461434556843,2.01737845218413,1.1402997757502,3.0,03,塑膠類,647493592,468398841,38.24,93475954,42323851,34942890
1301,5605717,24996593,11007992,127.08,50952807,4.91,2.29,24.3622,60.3008,2.97,1.83,1301.0,1301,臺塑,89320692,59801088,49.36,14652958,6247431,11251857
1303,3330657,29587402,11418705,159.11,69825892,4.24,1.73,23.8795,55.5009,2.08,1.11,1303.0,1303,南亞,123233691,91408975,34.82,17281757,8211625,14445200
1304,-62081,734627,84788,766.43,7714032,0.95,0.11,12.9164,67.4243,3.28,2.35,1304.0,1304,臺聚,5414533,3938945,37.46,683922,192763,235890
1305,-202091,705404,-259601,,4248035,1.66,-0.61,11.2643,47.3926,1.82,1.23,1305.0,1305,華夏,6038157,4629083,30.44,223880,-57510,481524
1306,-7489,3002,23673,-87.32,623186,0.05,0.38,12.2968,31.1654,1.12,0.49,1306.0,1306,合發,1457716,1113572,30.9,8042,30251,-12376
1307,128216,245819,206144,19.25,2504083,0.98,0.91,13.2228,53.0273,2.3,1.46,1307.0,1307,三芳,3076820,3102216,-0.82,177256,94694,65252
1308,85068,342244,162694,110.36,2461619,1.39,0.71,16.3703,81.6276,2.83,2.07,1308.0,1308,亞聚,2958182,2095953,41.14,429004,101435,-8939
1309,-56778,241739,-95276,,2626219,0.92,-0.36,14.6662,54.1528,2.29,1.61,1309.0,1309,臺達化,6066316,4387368,38.27,109323,-49877,192180
1310,-201434,612342,148251,313.04,5341562,1.15,0.28,11.9862,68.0093,1.29,0.74,1310.0,1310,台苯,8980863,6130740,46.49,1010657,443167,-122375
1311,-49993,798571,434451,83.81,2781446,2.87,1.64,17.0429,76.0357,3.1,2,1311.0,1311,福聚,8736373,7058830,23.77,1039364,625888,24407
1312,-315081,1038316,-160710,,6598242,1.57,-0.24,8.383,38.5692,0.89,0.54,1312.0,1312,國喬,9757340,6953691,40.32,913718,200835,225086
1313,270100,801599,276188,190.24,7238487,1.11,0.38,14.01,72.7414,2.86,1.53,1313.0,1313,聯成,4169840,3267812,27.6,468465,133518,561390
1314,-199524,153207,-294700,,16899995,0.09,-0.2,8.8264,31.2541,1.34,0.76,1314.0,1314,中石化,16572425,13425111,23.44,420457,-94412,-233682
1315,-66361,156767,77986,101.02,2415227,0.65,0.32,13.3634,71.2598,2.78,2.07,1315.0,1315,達新,2722977,2611899,4.25,170339,183995,23057
1316,62072,-12519,44784,,1403322,-0.09,0.32,5.791,67.5115,0.59,0.31,1316.0,1316,上曜,437792,492551,-11.12,-19419,-17288,15047
1319,343813,1047929,892643,17.4,4070739,2.57,2.34,16.5744,64.9551,1.17,0.87,1319.0,1319,東陽,5463983,4933298,10.76,797496,640242,438936
1321,268076,370986,42908,764.61,2080845,1.78,0.21,14.0426,67.2816,1.5,0.77,1321.0,1321,大洋,3441743,2776877,23.94,-120103,-199598,568951
1323,27154,49226,54750,-10.09,736194,0.67,0.77,12.7377,61.3518,1.53,1.07,1323.0,1323,永裕,827940,759097,9.07,32477,26612,16466
1324,4214,4779,57276,-91.66,729339,0.07,0.82,12.2415,74.3096,2.76,1.93,1324.0,1324,地球,831117,824090,0.85,-752,27625,-921
1325,22586,-37618,37327,,891110,-0.42,0.42,12.5724,77.0622,3.78,2.5,1325.0,1325,恒大,344252,414927,-17.03,-39047,10155,1648
1326,5236769,29040432,13101121,121.66,48761961,5.96,2.9,25.9595,60.1805,2.45,1.49,1326.0,1326,臺化,105930751,78985736,34.11,21011913,10060545,9385940
6505,-1785104,29111475,15583172,86.81,83104000,3.5,1.99,18.6247,43.7662,1.62,0.81,6505.0,6505,台塑化,241710089,169286982,42.78,34224247,15511755,-2611648
04,426338,11461589,1663914,588.83,204022024,0.57,0.08,12.0109102094978,54.1602316145409,1.06379502589331,0.435499835695772,4.0,04,紡織纖維類,191478961,168290192,13.78,2570086,2276085,9946321
1402,3491936,8348936,3250027,156.89,37996605,2.2,0.91,18.0776,62.3174,1.26,0.39,1402.0,1402,遠紡,28551248,24888828,14.72,-545570,-241909,8894506
1408,-523065,-973065,-689783,,5450704,-1.79,-1.27,2.0973,6.7071,0.39,0.09,1408.0,1408,中紡,8881477,7256258,22.4,-85520,-166718,-887545
1409,-183970,466347,233393,99.81,13253409,0.35,0.18,10.5685,52.1108,1.06,0.63,1409.0,1409,新纖,15340207,13203780,16.18,62084,374821,420142
1410,-32322,10533,166,+++++,900000,0.12,<<<<<,10.168,83.6383,4.62,3.7,1410.0,1410,南染,343919,372300,-7.62,28385,36962,-8454
1413,-16627,-40241,-163914,,2836457,-0.14,-0.58,8.1623,51.5167,1.04,0.32,1413.0,1413,宏洲,3705581,2873856,28.94,-44552,20776,36793
1414,-88949,-35518,-121181,,2200000,-0.16,-0.55,7.987,28.9258,0.42,0.2,1414.0,1414,東和,2950935,2551827,15.64,-27588,-32043,-7930
1416,-48162,-43379,-133488,,5497834,-0.08,-0.24,8.9569,62.4219,0.55,0.4,1416.0,1416,廣豐,1974618,1788501,10.41,-55772,-72564,11795
1417,27709,-187904,10384,,4157493,-0.45,0.02,10.7772,71.2379,1.36,0.91,1417.0,1417,嘉裕,1350601,1294092,4.37,-113047,-13712,-65104
1418,63615,18528,-57843,,2638553,0.07,-0.22,9.1667,55.3262,1.28,0.42,1418.0,1418,東華,2268063,1618815,40.11,21102,-114925,-7586
1419,99375,154363,78973,95.46,2904000,0.53,0.27,13.0849,53.7568,0.6,0.49,1419.0,1419,新紡,498380,378538,31.66,-31632,-19999,179770
1423,22838,-37145,30764,,1793000,-0.21,0.17,12.7749,77.3119,7.03,1.3,1423.0,1423,利華,2034331,1657586,22.73,-48356,17397,-1712
1432,-69507,-91667,-40718,,1448125,-0.63,-0.24,5.2347,19.7962,0.51,0.1,1432.0,1432,大魯閣,773497,1968116,-60.7,-42326,28789,-49341
1434,336797,1619339,864773,87.26,16192470,1,0.54,13.4685,58.8324,1.61,0.87,1434.0,1434,褔懋,17585086,14884234,18.15,707765,682936,957117
1438,-31044,-42730,-88650,,1024115,-0.42,-0.87,2.0991,18.5135,0.36,0.12,1438.0,1438,裕豐,87093,117460,-25.85,-17154,1855,-588
1439,-4755,9035,23744,-61.95,970000,0.09,0.23,12.3253,54.2779,1.88,1.32,1439.0,1439,中和,837373,909924,-7.97,4702,35787,10756
1440,524947,1096537,651421,68.33,14935240,0.73,0.44,12.793,66.7772,2.54,0.62,1440.0,1440,南紡,11525839,8506895,35.49,145990,157369,999832
1441,-120840,13823,-129996,,1079004,0.13,-0.8,6.4759,26.1715,0.7,0.26,1441.0,1441,大東,1123617,995799,12.84,6469,-9073,6197
1442,-24769,-30964,-67787,,2197053,-0.14,-0.68,5.3648,66.1952,2.62,0.38,1442.0,1442,名軒,66141,55985,18.14,-13236,-42843,-17728
1443,-34732,-80569,-88043,,3010900,-0.27,-0.29,8.6761,54.0019,0.89,0.27,1443.0,1443,立益,710669,567776,25.17,7636,-53311,-88205
1444,13306,562,19052,-97.05,7314000,<<<<<,0.03,10.383,62.8471,1.14,0.41,1444.0,1444,力麗,6218050,5307820,17.15,-30864,25746,89426
1445,-21589,-28418,-47274,,1795510,-0.16,-0.26,10.3992,69.9741,2.88,1.47,1445.0,1445,大宇,1835299,1555314,18,19413,-21957,-47983
1446,53016,35179,71106,-50.53,2238702,0.16,0.32,12.1719,65.5488,1.02,0.55,1446.0,1446,宏和,2357878,2621792,-10.07,41211,19370,-2631
1447,-9993,345500,-74826,,5706875,0.61,-0.13,11.9824,62.8866,1.48,0.63,1447.0,1447,力鵬,7214459,6295947,14.59,342677,-64833,58823
1449,-190513,-313847,-192311,,6620381,-0.47,-0.29,7.2,47.9737,2.03,0.84,1449.0,1449,佳和,3889308,3485063,11.6,113334,28838,-371687
1450,-1105346,-273278,-1286403,,2740072,-1,-4.69,2.7958,20.4109,0.01,0.01,1450.0,1450,新藝,66527,465234,-85.7,-40657,-153776,-232621
1451,890606,1299881,1509774,-13.9,5983691,2.17,2.52,17.2325,85.1722,1.05,0.48,1451.0,1451,年興,4312889,4072890,5.89,681072,821537,799629
1452,5290,36228,-2142,,1817223,0.2,-0.01,11.8523,89.9246,6.64,3.14,1452.0,1452,宏益,1539196,1312787,17.25,37948,3646,6329
1454,-29293,10379,14265,-27.24,1496502,0.07,0.1,11.1131,66.6686,1.52,0.74,1454.0,1454,台富,1954068,1860866,5.01,35468,53958,-16705
1455,94113,378554,222320,70.27,4391538,0.86,0.53,13.197,70.9378,1.32,0.65,1455.0,1455,集盛,6192671,5190721,19.3,364208,184133,60608
1456,-122029,-173277,-150278,,2904623,-0.6,-0.52,5.0111,23.02,0.78,0.29,1456.0,1456,怡華,2664755,2753823,-3.23,-131249,-28202,-38078
1457,-76871,11204,-28452,,3653200,0.03,-0.08,10.8686,55.0389,0.74,0.42,1457.0,1457,宜進,3513315,2838162,23.79,140425,98064,-111200
1459,31354,300107,106626,181.46,3650582,0.82,0.3,11.7306,68.4189,2.06,1.43,1459.0,1459,聯發,2631653,2383711,10.4,96934,104872,190173
1460,6933,210256,-220520,,4810804,0.44,-0.47,10.8892,65.2242,1.61,0.44,1460.0,1460,宏遠,5108747,3621931,41.05,134533,-227453,75723
1462,-2623168,-2044579,-3029727,,8556293,-2.39,-3.54,2.0498,5.8875,0.65,0.06,1462.0,1462,東雲,9377601,8263903,13.48,-542907,-431700,-1464127
1463,3288,101671,-49036,,1983207,0.51,-0.25,10.5873,88.7767,3.95,3.18,1463.0,1463,強盛,651951,655012,-0.47,17853,-52327,83818
1464,89435,100819,175397,-42.52,2398194,0.42,0.73,8.6628,72.8478,2.05,0.7,1464.0,1464,得力,1814687,2005418,-9.51,30482,87537,93985
1465,16646,10475,8613,21.62,893394,0.12,0.1,16.8194,76.8565,2.43,1.41,1465.0,1465,偉全,954159,906716,5.23,-3626,-9667,14101
1466,-49994,90333,-42552,,715978,1.26,-0.59,8.4857,26.3091,0.56,0.18,1466.0,1466,聚隆,2161040,1835215,17.75,147080,4178,-50253
1467,-41883,167071,101753,64.19,1369080,1.22,0.78,12.8506,52.5856,1.23,0.76,1467.0,1467,南緯,2010885,2489004,-19.21,139281,195088,68011
1468,8697,-43997,10828,,1604053,-0.27,0.07,11.838,69.9113,1.59,0.58,1468.0,1468,昶和,859256,1007460,-14.71,-38862,-7669,-2503
1469,-110,-47209,41186,,1246000,-0.38,0.33,15.0306,73.8038,0.91,0.43,1469.0,1469,理隆,557306,632226,-11.85,9255,40984,-51113
1470,13661,-40376,-19442,,857670,-0.47,-0.23,8.9074,82.2371,2.31,1.41,1470.0,1470,大統染,519431,595347,-12.75,-42634,-29136,2258
1471,31112,137585,59085,132.86,1171280,1.17,0.5,12.477,65.2226,2.47,2.17,1471.0,1471,首利,2647053,1752083,51.08,164552,14973,15558
1472,5384,-27197,27921,,875000,-0.31,0.32,15.3774,85.3915,2.41,0.73,1472.0,1472,三洋纖,830486,965545,-13.99,-39301,27537,9604
1473,275161,443418,443940,-0.12,1233948,3.59,3.61,24.0719,61.6203,1.95,1.31,1473.0,1473,台南,3119306,3203380,-2.62,41277,98736,417150
1474,-2018,113336,93540,21.16,1112432,1.02,0.9,12.5952,52.1964,1.95,1.05,1474.0,1474,弘裕,2575186,2393433,7.59,139751,132985,6005
1475,-165938,-156032,-203525,,1266722,-1.23,-2.08,5.43,49.8729,0.76,0.18,1475.0,1475,本盟,523489,621335,-15.75,-161988,-37587,39884
1476,-40453,172458,83708,106.02,957713,1.8,0.92,15.0997,51.8309,1.55,0.75,1476.0,1476,儒鴻,3823309,2705300,41.33,288456,162283,-49511
1477,-6565,420234,408886,2.78,1169956,3.59,4.2,15.3344,47.6129,2.8,1.93,1477.0,1477,聚陽,6693449,6354050,5.34,601665,554696,-43605
4414,-14376,50290,50160,0.26,1002439,0.5,0.66,12.534,42.9034,1.18,0.25,4414.0,4414,如興,2252877,2248134,0.21,55919,91636,14538
05,1122360,11000463,8539523,28.82,78416264,1.46,1.14,16.4596291104193,55.2396594956365,1.48428687263337,0.911507992362889,5.0,05,電機機械類,112337182,95241896,17.95,10814489,9117144,2405953
1503,-226107,396924,315696,25.73,5209722,0.76,0.61,18.6143,55.1042,1.51,0.95,1503.0,1503,士電,9598210,9028311,6.31,471872,646238,-2420
1504,-182619,696563,408143,70.67,20055679,0.35,0.2,16.1761,57.5469,1.53,0.81,1504.0,1504,東元,20482380,16618469,23.25,806986,564988,-110423
1506,-74781,7453,-27844,,1022516,0.07,-0.27,10.1186,37.5653,0.59,0.28,1506.0,1506,正道,615590,601950,2.27,47889,51754,-47689
1507,258861,367385,406577,-9.64,4108200,0.89,0.99,18.1255,76.9422,2.73,1.91,1507.0,1507,永大,2255150,2139664,5.4,102862,165327,268386
1512,173,139268,30058,363.33,1765073,0.79,0.17,12.0711,49.3481,1.52,0.77,1512.0,1512,瑞利,2949639,2210673,33.43,112463,46111,72049
1513,29630,735115,599894,22.54,5048115,1.46,1.18,11.9075,54.0601,1.7,0.48,1513.0,1513,中興電,5848709,7138743,-18.07,838705,643358,70003
1514,4022,72111,-38720,,2010670,0.36,-0.19,11.2095,53.4495,1.6,1.1,1514.0,1514,亞力,2063629,1888938,9.25,20087,-57900,28666
1515,-101258,96048,83005,15.71,2522103,0.38,0.33,11.4212,40.371,1.15,0.94,1515.0,1515,力山,3705674,3358645,10.33,233459,208536,-120053
1516,14523,21152,19684,7.46,923501,0.23,0.21,11.0225,74.0382,0.81,0.23,1516.0,1516,川飛,228239,226540,0.75,-17657,4972,38140
1517,30189,239831,61451,290.28,2312673,1.04,0.27,11.004,82.415,3.98,3.18,1517.0,1517,利奇,1269866,1084226,17.12,116202,41376,164501
1519,-12691,-95598,90083,,2151194,-0.44,0.41,9.7533,51.7386,1.25,0.68,1519.0,1519,華城,1439839,1949700,-26.15,-105646,128044,-7508
1520,1051647,2515637,2439654,3.11,6575125,3.83,4.51,18.4041,70.122,1.73,1.41,1520.0,1520,復盛,8081117,7193980,12.33,1834348,1802845,1085246
1521,27304,242413,174812,38.67,762300,3.18,2.29,16.9628,48.0259,1.22,0.74,1521.0,1521,大億,2911676,2157615,34.95,220970,157645,24483
1522,-39290,423099,484747,-12.72,2166170,1.95,2.52,19.1775,37.4808,1.04,0.72,1522.0,1522,堤維西,4962985,4655798,6.6,625994,629887,-119578
1523,220082,431486,348793,23.71,1488116,2.9,2.27,18.1336,56.4264,1.28,0.93,1523.0,1523,開億,3513705,2897475,21.27,186534,170604,290926
1524,-32083,175268,60872,187.93,1299290,1.35,0.53,13.3519,45.0545,0.81,0.46,1524.0,1524,耿鼎,1792007,1189405,50.66,208205,106106,13895
1525,44308,129283,103137,25.35,502810,2.57,2.26,24.3465,68.2204,2.09,1.57,1525.0,1525,江申,1159932,801039,44.8,113210,68529,43073
1526,-30368,-53878,-31393,,787971,-0.68,-0.4,7.6292,47.2123,1.18,0.52,1526.0,1526,日馳,431453,450007,-4.12,-17048,-6072,-44266
1527,-18854,730288,546726,33.57,1478383,4.94,4.12,21.73,59.7844,1.05,0.74,1527.0,1527,鑽全,2627011,1924861,36.48,938149,749101,14861
1528,-40698,32396,30971,4.6,742000,0.44,0.42,13.8986,39.479,1.56,0.9,1528.0,1528,恩德,2047157,1803878,13.49,92875,72222,-42322
1529,-6326,-15459,-59641,,748737,-0.21,-0.8,10.7486,37.52,1.49,0.51,1529.0,1529,樂士,1096945,748265,46.6,-22642,-64286,-6285
1530,35819,200711,138249,45.18,527843,3.8,2.9,15.7385,45.2023,1.3,0.67,1530.0,1530,亞崴,1465905,965350,51.85,214765,138918,40550
1531,85560,388663,411567,-5.57,1387898,2.8,3.43,20.7594,68.3906,2.35,1.46,1531.0,1531,高林股,2399775,2522256,-4.86,300356,455166,208756
1532,127135,709074,229882,208.45,1649964,4.3,1.71,21.96,56.2737,1.49,0.61,1532.0,1532,勤美,6053882,3610640,67.67,660199,131638,193912
1533,-23379,90538,143190,-36.77,961185,0.94,1.56,17.4644,45.2311,2.27,1.26,1533.0,1533,車王電,1270395,1360821,-6.64,163826,213807,-51862
1535,-693,38628,38171,1.2,901474,0.43,0.43,11.5436,24.9853,1.22,1.07,1535.0,1535,中宇,1058665,1634454,-35.23,26168,25302,18688
1536,-36701,88466,55819,58.49,632812,1.4,0.96,12.5906,34.7197,1.6,1.3,1536.0,1536,和大,1078339,720698,49.62,157690,110808,-50135
1537,59742,40765,90129,-54.77,643530,0.63,1.4,16.7949,65.7973,1.7,1.07,1537.0,1537,廣隆,1008629,814175,23.88,29239,60583,21474
1538,16923,46782,192400,-75.69,1151277,0.41,1.82,14.0532,46.2609,1.02,0.78,1538.0,1538,正峰工,4654709,3058148,52.21,156657,231916,-31148
1539,-12590,21847,11046,97.78,648000,0.34,0.17,14.26,47.1579,1.03,0.46,1539.0,1539,巨庭,1365070,873657,56.25,58577,33815,-24120
1540,-16505,64141,30919,107.45,619374,1.04,0.52,12.3092,65.3987,3.67,1.17,1540.0,1540,喬福,786980,599013,31.38,93776,68433,-7854
1541,-11117,63267,71223,-11.17,682778,0.93,1.06,11.8827,40.3046,2.19,1.59,1541.0,1541,錩泰,1613770,1261058,27.97,74086,105820,10677
4526,16243,400978,201614,98.88,991345,4.04,2.79,19.8817,50.8697,1.64,0.93,4526.0,4526,東台,3162434,1918339,64.85,458833,241298,47169
4532,-24575,545939,187806,190.69,2608789,2.09,0.93,13.4518,64.7227,1.68,1.19,4532.0,4532,瑞智,2623447,2254061,16.39,236190,221003,412821
6605,-9166,1013879,690803,46.77,1329647,7.63,6.03,30.4581,53.277,1.82,1.44,6605.0,6605,帝寶,4714269,3581044,31.65,1376310,949252,3340
06,-423363,11126540,1458076,663.1,71026152,1.51,0.2,14.565054361641,65.2003802915903,1.39889899684724,0.822816425589417,6.0,06,電器電纜類,73178314,49435427,48.03,5482977,2003431,5850427
1601,315636,-20349,230450,,1378080,-0.15,0.84,13.3229,28.6183,0.66,0.2,1601.0,1601,台光,1901093,1821537,4.37,12719,-80164,-28988
1603,-26657,-5386,96392,,3423000,-0.02,0.28,8.6534,35.5294,1,0.52,1603.0,1603,華電,2238425,1938689,15.46,66405,108049,-51291
1605,-596148,9027792,518540,+++++,30790126,2.93,0.15,19.2625,83.7189,3.25,1.92,1605.0,1605,華新,26789450,15847444,69.05,3560863,1114688,5466929
1606,-9692,100930,-126805,,6554656,0.15,-0.24,10.74,42.1486,1.05,0.62,1606.0,1606,歌林,6437647,3112483,106.83,149442,-94230,-37944
1608,387,277132,417207,-33.57,6327735,0.44,0.66,12.2958,77.2149,3.83,2.03,1608.0,1608,華榮,5623418,4292481,31.01,202085,397549,89710
1609,89527,396332,228202,73.68,4933420,0.8,0.49,12.5406,56.0818,1.23,0.51,1609.0,1609,大亞,4818750,3851944,25.1,216866,166996,224030
1611,21087,100009,17693,465.25,3601108,0.28,0.05,12.7531,79.7999,3.71,2.84,1611.0,1611,中電,2330409,2008882,16.01,99281,-11912,32809
1612,91658,232499,181928,27.8,3298631,0.7,0.55,12.8986,78.529,2.24,1.38,1612.0,1612,宏泰,3407619,2739372,24.39,256709,112268,52826
1613,-287641,113640,-628251,,2474399,0.46,-2.54,2.7749,9.0102,0.18,0.07,1613.0,1613,台一,2277966,1386586,64.29,-250583,-355948,72152
1614,116737,444620,434547,2.32,3166040,1.4,1.37,16.2974,64.4375,2.55,2.12,1614.0,1614,三洋電,7013636,5705795,22.92,397010,418751,146247
1615,-29755,49732,-45542,,882000,0.56,-0.52,11.9387,42.8437,0.92,0.43,1615.0,1615,大山,1739912,1003185,73.44,173903,-30507,-79507
1616,-23580,99350,-17866,,1220036,0.81,-0.15,15.5673,57.1261,2.09,1.31,1616.0,1616,億泰,2310235,1527613,51.23,119901,5834,15699
1617,-40432,93526,43901,113.04,1109236,0.84,0.4,14.3866,46.987,1.5,1.26,1617.0,1617,榮星,3613220,2446097,47.71,149510,82387,-18092
1618,-44490,216713,107680,101.26,1867685,1.16,0.74,16.143,56.7138,1.16,0.38,1618.0,1618,合機,2676534,1753319,52.66,328866,169670,-34153
07,1676828,12787833,8529868,49.92,89641484,1.52,1.01,17.5686103410032,64.2928469234619,2.11016717603578,1.4509342960013,7.0,07,化學生技醫療類,102227495,93612255,9.2,11391728,8272536,4010184
1701,213630,840504,295620,184.32,2709828,3.1,1.18,15.4675,71.9351,1.48,1.19,1701.0,1701,中化,1914698,1866313,2.59,239412,75905,629093
1702,188278,84350,144903,-41.79,2941330,0.29,0.51,8.4357,48.3351,0.8,0.49,1702.0,1702,南僑,1080336,1054623,2.44,-80558,-43375,165805
1704,220131,627705,353509,77.56,4931675,1.27,0.71,15.396,53.2726,1.88,1.17,1704.0,1704,榮化,7357785,6105243,20.52,449416,256139,359153
1707,17213,45918,44221,3.84,1308186,0.35,0.34,11.691,74.418,6.79,5.4,1707.0,1707,葡萄王,713548,765920,-6.84,48148,28853,8554
1708,114606,82277,95972,-14.27,2104529,0.39,0.46,12.7596,78.994,1.45,0.88,1708.0,1708,東碱,962791,916068,5.1,43320,-15732,46602
1709,-38247,68328,112601,-39.32,2179051,0.31,0.53,12.9859,77.0303,3.29,1.17,1709.0,1709,和益,3103610,2937666,5.65,105443,193920,-18980
1710,48653,1871548,1075285,74.05,6164669,3.04,2.01,15.209,86.7788,1.85,1.47,1710.0,1710,東聯,7622440,5373206,41.86,2222420,1218962,205537
1711,9307,344798,227567,51.51,3742300,0.92,0.61,13.8371,76.8081,2.07,1.01,1711.0,1711,永光,3249976,3089110,5.21,277268,209503,56930
1712,73689,267076,211632,26.2,3644184,0.73,0.59,12.2661,60.8873,1.39,0.51,1712.0,1712,興農,6682740,6207783,7.65,113961,227696,175499
1713,9195,123053,17759,592.91,1509517,0.82,0.12,13.6512,86.7192,18.43,16.34,1713.0,1713,國化,641082,569274,12.61,63994,13560,83504
1714,39725,119905,326061,-63.23,6415597,0.19,0.52,11.54,57.824,1.37,0.42,1714.0,1714,和桐,1352666,8906264,-84.81,193176,318196,-63084
1715,-63788,171987,40438,325.31,3084094,0.56,0.12,13.1412,60.3147,0.95,0.6,1715.0,1715,亞化,3216091,2895949,11.05,146066,115660,69464
1716,54470,398684,340516,17.08,2416535,1.65,1.41,19.7747,86.9288,3.73,2.53,1716.0,1716,永信,2039068,1787342,14.08,483383,352577,41331
