stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
1323,192726,179071,7.63,912745,2.12,1.97,17.82,44.127020982215,2.83004731065989,1.84666318009914,343262,317255,8.2,1323,永裕,2549322,2436266,4.64,317999,308119,25263,9136
1324,36160,34270,5.52,751219,0.48,0.46,12.75,72.8761271950641,3.15089673096674,2.29783904255542,42919,41496,3.43,1324,地球,1096160,1088311,0.72,34361,44234,8558,-2738
1325,28720,51349,-44.07,1006828,0.29,0.51,17.62,86.1459429144438,11.1384940640755,8.669821651217,34968,62942,-44.44,1325,恆大,813793,779132,4.45,16222,50098,18746,12844
1326,16591471,21621769,-23.26,58611863,2.84,3.7,46.64,51.2568781403589,2.27812987171198,1.58070638508394,20721952,25898892,-19.99,1326,台化,313340395,318845476,-1.73,7621965,16871015,13099987,9027877
1337,916702,1057801,-13.34,2498291,3.67,4.23,38.33,83.3128903633617,3.96495386540524,2.51066389813261,1241692,1441256,-13.85,1337,F-再生,4207379,4515896,-6.83,1167581,1418535,74111,22721
1339,214038,150069,42.63,659259,3.25,2.28,27.14,59.2968471400486,0.798234696382781,0.362463514103334,269897,187169,44.2,1339,昭輝,1041561,879227,18.46,250921,158516,18976,28653
1340,661454,495146,33.59,883794,7.51,6.56,52.48,88.1315749721396,8.07301174458602,7.97939029209232,786133,593242,32.51,1340,F-勝悅,2165835,1874054,15.57,712925,604845,73208,-11603
1715,625782,360483,73.6,4128166,1.59,1.15,17.16,55.3246191017024,2.70724208228451,1.90553185660529,807697,522439,54.6,1715,萬洲,8274721,7840658,5.54,288010,421709,519687,100730
4306,180648,711964,-74.63,5127246,0.35,1.48,15.85,23.705852620124,1.50719303068565,0.616096731256205,627437,1014878,-38.18,4306,炎洲,15121864,14550297,3.93,344906,934676,282531,80202
04,17716891,18381692,-3.62,196790563,0.38,0.5,21.78,44.0936250800866,1.25692055027731,0.504273447925187,28739855,29143973,-1.39,04,紡織纖維類,406911020,408647078,-0.42,18871371,20366689,9868484,8777284
1402,9198771,8912575,3.21,52479168,1.87,1.82,37.21,39.6645915342234,1.07698848003092,0.710960018544499,17904746,17257307,3.75,1402,遠東新,176220511,179181515,-1.65,10885727,11027537,7019019,6229770
1409,1244118,1002342,24.12,17157970,0.74,0.58,15.66,20.3532903057854,1.08869816093832,-,1834123,1731606,5.92,1409,新纖,33084481,32678521,1.24,1834123,1731606,-,-
1410,77640,76263,1.81,720000,0.86,0.85,15.8,68.4098705402393,2.86715454031711,2.71300518558273,100219,85517,17.19,1410,南染,488822,453383,7.82,92278,79242,7941,6275
1413,-172236,-210820,,1021125,-1.71,-2.09,7.28,24.7124491305334,0.71001520123312,0.209603845935621,-170131,-207893,,1413,宏洲,2712365,3556167,-23.73,-150895,-199916,-19236,-7977
1414,19571,114566,-82.92,2200000,0.08,0.52,14.27,70.5014678383624,1.57444322888177,0.771921153395327,17080,111049,-84.62,1414,東和,989513,1058347,-6.5,1585,83105,15495,27944
1416,225309,-122125,,2933557,0.83,-0.35,17.58,47.0529102946503,1.37127259374406,0.145247139153018,256344,-56556,,1416,廣豐,151262,268077,-43.58,-139648,-88187,395992,31631
1417,5269,-96608,,3798837,0.01,-0.25,12.5,73.4210575147753,2.51585377993852,1.3462104451221,3903,-81926,,1417,嘉裕,2392525,2390698,0.08,-195167,-132839,199070,50913
1418,-96262,-94121,,1319276,-0.8,-0.78,6.29,37.0749011511268,0.618340364340926,0.107345226626731,-93540,-91158,,1418,東華,1453659,1465402,-0.8,-127898,-120128,34358,28970
1419,142958,175024,-18.32,3000413,0.48,0.58,24.73,63.9453524048226,0.502322145193807,0.401991743219598,144840,178683,-18.94,1419,新紡,818612,717135,14.15,-32258,-18402,177098,197085
1423,-65126,-25782,,1750000,-0.37,-0.15,15.02,91.4440622010885,76.9100283286119,43.6307648725212,-45953,-34090,,1423,利華,527226,670594,-21.38,-49355,-31465,3402,-2625
1432,-61256,-76931,,1639899,-0.37,-0.62,13.7,69.4629175614744,2.90187100964814,1.30197909130436,-51965,-74425,,1432,大魯閣,671845,790754,-15.04,-161706,-76077,109741,1652
1434,2862142,1647463,73.73,16846646,1.7,0.98,29.58,65.6942651628407,1.87443561951439,1.09281374481917,3313168,2000845,65.59,1434,福懋,38103101,36083472,5.6,2169721,1510479,1143447,490366
1439,-1750,1842,,920000,-0.02,0.02,22.04,92.4382860303475,85.9510164686011,83.6981962960729,-2084,2466,,1439,中和,295249,340184,-13.21,-13885,-13603,11801,16069
1440,385764,1047737,-63.18,16404118,0.24,0.64,15.19,64.4526485886985,1.34100726383368,0.533986919929388,469179,1386945,-66.17,1440,南紡,15282449,16363477,-6.61,233258,1078677,235921,308268
1441,-107362,-11095,,917531,-1.2,-0.12,10.82,34.116176077645,1.00939446082738,0.457888477122307,-108667,-11307,,1441,大東,1122005,985048,13.9,-142492,-31342,33825,20035
1443,-284993,-39471,,1353430,-2.11,-0.29,9.49,23.8075467067293,0.642164273821253,0.156760128899578,-353052,-108931,,1443,立益,1404219,1722492,-18.48,-131830,-63030,-221222,-45901
1444,149251,591854,-74.78,9573029,0.16,0.62,12.01,66.5065686209003,1.43024279054541,0.928611698806356,202415,662953,-69.47,1444,力麗,8653646,9408451,-8.02,-61940,189267,264355,473686
