stock,88年1-9月,稅後純益,88年1-9月,增減(%),期末股本,稅後純益,88年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,88年1-9月,增減(%),營業利益,88年1-9月,營業外
1511,193162,746480,909244,-17.9,4368663,1.71,2.62,13.9058,83.8214,3.75,3.5,1511,飛瑞,3161011,3830896,-17.49,637937,856433,230812
1512,-24355,-69895,-22611,209.12,1765073,-0.4,-0.13,10.7383,45.836,0.72,0.36,1512,瑞利,2000178,1848880,8.18,84197,5364,-144320
1513,-83746,879565,718773,22.37,6233040,1.41,1.52,13.7452,45.8182,1.82,0.24,1513,中興電,7707103,6926156,11.28,1194879,615763,-264446
1514,-14103,177872,120370,47.77,1972079,0.9,0.72,13.2706,64.8899,1.95,1.27,1514,亞力,2409859,2044709,17.86,256352,165090,-21728
1515,-5256,72963,256129,-71.51,2388010,0.31,1.25,11.5989,45.7446,1.52,1.15,1515,力山,3814593,3602484,5.89,283021,334653,-150381
1516,83561,5951,33849,-82.42,1542362,0.04,0.22,12.2329,61.7522,1.12,0.53,1516,川飛,849802,564210,50.62,-5865,-42836,12097
1517,39449,-298300,303366,,2312673,-1.29,1.44,11.1756,89.2269,6.36,4.89,1517,利奇,1660540,1866518,-11.04,-77180,414510,-238385
1518,62137,7090,94778,-92.52,1992422,0.04,0.5,12.2728,85.7121,3.7,1.94,1518,夆典,1412042,1233596,14.47,100732,38081,-64776
1519,21765,226891,204955,10.7,1994363,1.14,1.26,12.6332,63.1792,1.32,0.97,1519,華城,2189377,2181626,0.36,248386,233466,12953
1520,177339,675193,434616,55.35,2754359,2.45,1.81,15.3151,54.7708,1.65,1.27,1520,復盛,2898167,2326104,24.59,516307,332475,263598
1521,-11390,115811,62638,84.89,762300,1.52,0.82,14.1575,49.0594,1.31,0.82,1521,大億,1811843,1470582,23.21,161770,90644,-28778
1522,-17755,-16564,232565,,1647072,-0.1,1.69,18.1714,43.0911,0.99,0.66,1522,堤維西,2822564,3136695,-10.01,25853,315783,-42703
1523,13048,-75432,128094,,1449349,-0.52,0.93,14.0585,45.014,0.75,0.54,1523,開億,2094062,2710102,-22.73,-98674,146586,3208
1524,39926,15575,157458,-90.11,1004244,0.16,1.81,12.8411,50.5116,0.86,0.48,1524,耿鼎,840974,964020,-12.76,7511,138564,-3591
1525,17113,50808,57519,-11.67,410571,1.24,1.4,19.7649,73.8631,3.06,2.09,1525,江申,682003,570108,19.63,48224,48759,12584
1526,7635,-17343,58812,,787971,-0.22,0.97,11.7395,64.8003,1.05,0.51,1526,日馳,634681,734277,-13.56,-13210,66524,-15462
1527,-145,353349,322312,9.63,1076193,3.28,4.52,14.2558,86.1143,4.72,4.05,1527,鑽全,1442839,1325816,8.83,439560,424934,24637
1528,-27473,97230,66314,46.62,719000,1.35,1.21,16.0551,51.9422,1.81,1.05,1528,恩德,1712849,1461359,17.21,142390,100804,-19822
1529,-14047,48307,38310,26.1,557600,0.87,0.99,15.2762,52.6258,1.62,0.69,1529,樂士,915583,810025,13.03,54768,58402,4736
1530,1595,18285,19152,-4.53,466677,0.39,0.45,11.0134,72.1508,3.17,1.82,1530,亞崴,355890,316271,12.53,16129,20211,6317
1531,13157,289057,177786,62.59,1084122,2.67,1.9,19.7377,75.9915,3.34,1.89,1531,高林股,2093470,1427115,46.69,354515,200168,27293
1532,100470,211689,103842,103.86,1054777,2.01,1.04,17.223,61.7143,1.05,0.57,1532,勤美,1435098,1634156,-12.18,34308,10452,187981
16,17033,14112241,2578105,447.39,114453561,1.23,0.26,14.6607,63.9416,1.27,0.68,16,電器電纜類,70709900,65732277,7.57,1650085,2852489,12567069
1601,-85435,1080667,-43810,,3169584,3.41,-0.14,7.0504,43.7733,1.18,0.34,1601,台光,2035585,2311794,-11.95,-126472,28718,1207139
1602,240714,1845863,622556,196.5,30642364,0.6,0.23,13.8769,58.2894,1,0.44,1602,太電,8617427,8607868,0.11,128463,430085,1736025
1603,-641522,-270586,-526115,-48.57,3423000,-0.79,-1.54,10.2986,39.8436,0.91,0.45,1603,華電,1865145,1892421,-1.44,75685,95965,-350437
1604,514,1861147,66586,+++++,10452897,1.78,0.07,12.8281,63.9033,1.33,0.77,1604,聲寶,10929266,8909613,22.67,572130,66072,1289017
1605,177318,7911137,866502,813,31613782,2.5,0.37,18.6619,78.0409,1.77,1.08,1605,華新,15479303,13304911,16.34,355091,689184,7556046
1606,106527,-84960,-86980,-2.32,5184000,-0.16,-0.18,11.9595,44.0485,0.88,0.42,1606,歌林,3220408,3084403,4.41,-183281,-203162,87897
1608,207841,192488,467859,-58.86,6296254,0.31,0.78,12.4295,69.9057,1.54,1.08,1608,華榮,4725390,5428330,-12.95,77876,371058,117163
1609,-11906,321438,151853,111.68,5572260,0.58,0.28,11.9115,62.4326,1.73,0.83,1609,大亞,3935194,3558414,10.59,310180,167353,79518
1611,107270,234039,338646,-30.89,3579634,0.65,1.04,13.1709,75.4342,2.95,2.06,1611,中電,2625915,2822828,-6.98,86016,294717,188817
1612,82218,448545,158992,182.12,3165080,1.42,0.53,13.3564,78.7023,4.91,2.97,1612,宏泰,1871684,1982702,-5.6,44752,82422,414970
1613,-251511,86122,30203,185.14,4321974,0.2,0.08,14.722,43.5741,1.06,0.59,1613,台一,5713483,4562936,25.22,24598,280394,8972
1614,119352,345873,175817,96.72,3103961,1.11,0.59,15.7561,78.9897,4.49,3.26,1614,三洋電,4437428,4512024,-1.65,158521,96436,235221
1615,-3807,-43702,65998,,882000,-0.5,0.79,12.3758,53.0529,0.91,0.5,1615,大山電纜,963598,1334852,-27.81,-60725,82801,-19794
1616,33434,54956,68530,-19.81,1016631,0.54,0.74,18.0312,73.7892,1.98,0.93,1616,億泰,1097649,885076,24.02,5171,58018,45423
1617,-47066,120711,74472,62.09,893140,1.35,0.92,15.0175,54.2368,1.12,0.9,1617,榮星,2304938,1657306,39.08,161629,148096,-2493
1618,-16908,8503,146996,-94.22,1137000,0.07,1.55,17.4478,55.002,0.93,0.44,1618,合機,887487,876799,1.22,20451,164332,-26415
17,-278877,3613395,3076630,17.45,68480437,0.53,0.5,15.6503,60.4549,1.74,1.1,17,化學類,63083345,56673985,11.31,3947439,4153309,133148
1701,-70140,-11694,-6085,92.18,2509100,-0.05,-0.03,13.6538,55.1578,0.95,0.57,1701,中化,1852408,1780553,4.04,74695,64432,-112115
1702,-134092,-70332,-155518,-54.78,2796871,-0.25,-0.56,8.0262,47.1152,0.87,0.57,1702,南僑,1095951,1058504,3.54,79532,-21426,-149864
1704,152977,256988,370538,-30.64,4497168,0.57,0.89,13.3867,67.9966,1.46,0.79,1704,榮化,5618811,4374282,28.45,174425,296530,160330
1707,-51003,-78022,-83091,-6.1,1308186,-0.6,-0.64,10.3112,79.062,6.04,4.37,1707,葡萄王,655184,639947,2.38,-3226,-44432,-70531
1708,36591,198780,40235,394.05,1934310,1.03,0.21,13.5273,71.6466,1.13,0.66,1708,東南,1228447,1100771,11.6,-55589,4053,304970
1709,800,107033,157406,-32,1902489,0.56,0.91,12.9172,76.0602,2.93,1.4,1709,和益,2138194,2023437,5.67,115903,218068,23592
1710,86870,373102,258865,44.13,5111150,0.73,0.55,11.0234,71.7036,1.05,0.76,1710,東聯,3738638,1988340,88.03,388595,199211,21760
1711,-36511,112114,170716,-34.33,3743720,0.3,0.5,12.8532,62.2594,1.16,0.5,1711,永光,2949955,2940390,0.33,120097,210661,-35896
1712,-150769,108133,1236,+++++,3447575,0.31,<<<<<,11.7485,64.9683,1.14,0.44,1712,興農,4849452,5208351,-6.89,80026,162462,-5770
1713,5524,91754,85004,7.94,1509517,0.61,0.6,13.2824,85.1322,14.24,11.73,1713,國化,776551,770551,0.78,98031,111486,21797
1714,274837,281539,479285,-41.26,4651108,0.61,1.28,12.7324,60.8688,1.93,0.88,1714,和桐,4471609,4535645,-1.41,89690,301525,222359
1715,-217344,1071903,-89894,,2601146,4.12,-0.35,17.1457,60.2254,1.14,0.58,1715,亞化,2076388,2166850,-4.17,27131,168030,798698
