stock,公司,營業收入,88年1-3月,,營業利益,88年1-3月,營業外,88年1-3月,稅後純益,88年1-3月,,期末股本,稅後純益,88年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,
1419, 1419 新光紡織  ,223675,173233,29.12,8304,-1870,44958,23321,52848,21451,146.37,2904000,0.18,0.07,11.64,54.87,0.66,0.49,
1420, 1420 潤泰工業  ,2400663,2324844,3.26,-14554,41207,234848,-173649,231757,-138262,        ,7880511,0.29,-0.18,9.91,35.64,0.94,0.29,
1422, 1422 民興紡織  ,274757,336397,-18.32,-1878,5870,-61281,-76025,-57467,-70217,        ,1800000,-0.32,-0.47,12.36,33.41,1.2,0.32,
1423, 1423 利華羊毛  ,591517,402124,47.1,-5126,-49550,-10392,39939,-11317,-9611,        ,1793000,-0.06,-0.05,11.48,66.03,2.7,0.42,
1431, 1431 新燕實業  ,             ,             ,        ,             ,             ,             ,             ,             ,             ,        ,             ,            ,            ,        ,        ,      ,      ,
1432, 1432 大魯閣纖維,413531,288778,43.2,1530,-44389,131114,-189146,132644,-233535,        ,2077654,0.64,-1.29,7.13,27.7,0.94,0.31,
1433, 1433 臺灣化纖  ,14854566,8641430,71.9,895341,24136,191486,-543103,3219913,-518967,        ,32635654,0.99,-0.17,22.6,49.92,1.4,0.48,
1434, 1434 福懋興業  ,4036438,3227375,25.07,436820,404984,43077,-109895,348081,233503,49.07,13315185,0.26,0.18,13.6,59.79,1.95,1.07,
1435, 1435 中福紡織  ,157493,99920,57.62,-1577,-21304,39035,12151,38378,-9153,        ,1397801,0.27,-0.07,11.3,84.5,3.8,1.09,
1436, 1436 福益實業  ,135086,252283,-46.45,-72615,-39569,64244,40596,-8371,1027,        ,3194400,-0.03,   <<<<<<   ,12.14,66.26,2.08,0.23,
1437, 1437 勤   益   ,121302,146892,-17.42,-15480,-7762,56735,3242,44227,-4520,        ,1572008,0.28,-0.03,13.89,74.93,4.31,1.64,
1438, 1438 裕豐      ,102323,144391,-29.13,-7061,-18104,-52152,-55082,-59213,-73186,        ,1024115,-0.58,-0.79,9.54,48.36,0.79,0.2,
1439, 1439 中和羊毛  ,356748,338681,5.33,-8664,-6417,17976,17822,6984,10961,-36.28,1085400,0.06,0.1,11.92,59.56,1.77,0.6,
1440, 1440 台南紡織  ,2588803,1718620,50.63,39974,-312240,35707,-32557,65954,-345559,        ,14719000,0.04,-0.23,13.01,60.9,1.21,0.31,
1441, 1441 大東紡織  ,736163,402958,82.69,48579,-20912,-25711,-14568,12134,-36081,        ,1725696,0.07,-0.21,12.39,46.43,1.23,0.33,
1442, 1442 達永興    ,660335,97878,574.65,15600,-26254,-48210,-244373,-27997,-270627,        ,1991580,-0.14,-1.36,9.41,34.39,1.31,0.05,
1443, 1443 立益紡織  ,350887,385581,-9,-17838,-16372,85955,18101,66633,-1172,        ,3010900,0.22,  (<<<<<<)  ,11.71,80.39,1.91,0.56,
1444, 1444 力麗企業  ,1426951,1310396,8.89,3559,-22370,9656,             ,31215,3766,728.86,7314000,0.04,   <<<<<<   ,13.42,70.72,1.42,0.63,
1445, 1445 大宇紡織  ,538988,430105,25.32,-7387,-592,12434,6424,6782,-55,        ,1952170,0.03,  (<<<<<<)  ,11.69,66.32,2.04,0.81,
1446, 1446 宏和精密  ,1728077,1211723,42.61,18811,44841,-3215,-18743,15596,26098,-40.24,3338158,0.05,0.09,13.17,53.5,1.06,0.4,
1447, 1447 力鵬企業  ,1803369,1097203,64.36,55319,53432,3605,             ,88924,160404,-44.56,5706875,0.16,   <<<<<<   ,13.89,65.57,0.81,0.36,
1448, 1448 皇帝龍    ,432297,287728,50.25,-72885,-222649,-71560,-55175,-144445,-277824,        ,1100000,-1.31,-1.26,0.86,2.46,0.21,0.07,
1449, 1449 佳  和    ,1167036,1191323,-2.04,-10524,44890,78188,-27111,80466,13461,497.77,6350991,0.13,0.02,11.34,58.71,0.74,0.21,
1450, 1450 新    藝  ,376014,253550,48.3,29968,-38681,-17369,-34819,21726,-73500,        ,2821132,0.08,-0.27,12.49,58.88,1.83,1.08,
1451, 1451 年  興    ,857531,858252,-0.08,188256,184626,169375,106504,314649,247630,27.06,3900000,0.81,0.99,12.76,74.19,2.85,1.59,
1452, 1452 宏  益    ,489595,397319,23.22,975,-5063,36612,-25088,36183,-30278,        ,1892900,0.19,-0.18,10.85,75.17,1.29,0.98,
1453, 1453 大  將    ,162374,201922,-19.59,-3340,-9597,29711,962,29007,-5638,        ,1493884,0.19,-0.04,10.64,65.11,1.76,0.27,
1454, 1454 臺灣富綢  ,603325,460638,30.98,13305,-14874,19630,-64801,28499,-79675,        ,1595225,0.18,-0.57,11.62,57.74,1.29,0.58,
1455, 1455 集盛實業  ,805824,694436,16.04,48017,32391,57055,5000,283622,35698,694.5,3830400,0.74,0.11,13.64,63.04,1.06,0.63,
1456, 1456 怡華實業  ,936701,918646,1.97,-47,-37415,361171,-42054,344309,-84484,        ,3872831,0.89,-0.22,10.33,45.47,1.17,0.39,
1457, 1457 宜進實業  ,992470,764358,29.84,11844,72423,114225,-110355,104122,-39932,        ,3823200,0.27,-0.12,11.18,48.26,0.71,0.44,
1458, 1458 嘉新畜產  ,841069,1088049,-22.7,21961,22298,-25423,-130969,-3462,-108916,        ,5650000,-0.01,-0.19,9.73,43.85,1.01,0.35,
1459, 1459 聯發紡織  ,685016,445758,53.67,103495,-10725,-12913,16142,69592,7617,813.64,3669548,0.19,0.02,12.81,75.22,1.27,0.84,
1460, 1460 宏遠實業  ,1898422,1258283,50.87,-51239,42969,-3531,63780,-51257,98859,        ,5188795,-0.1,0.21,12.43,59.88,1.57,0.52,
1462, 1462 東雲      ,3435614,2044465,68.04,16142,-143897,-496595,             ,-373593,1824699,        ,22224139,-0.17,   <<<<<<   ,10.92,41.15,1.19,0.1,
1463, 1463 強盛      ,414589,370210,11.99,40765,50178,20670,-9847,53491,32331,65.45,1748104,0.31,0.21,13.53,81.37,1.34,0.81,
1464, 1464 得力      ,834164,590542,41.25,36767,15353,-14459,-71299,16811,-54333,        ,2396194,0.07,-0.28,6.92,45.33,0.66,0.22,
1465, 1465 偉全      ,506964,469380,8.01,39355,37819,4809,5078,34074,37620,-9.43,985747,0.35,0.46,17.85,80.04,3.11,2.08,
1466, 1466 聚隆纖維  ,585989,632618,-7.37,21021,-121138,-67821,-68843,-44942,-170451,        ,2658771,-0.17,-0.64,6.18,40.72,0.53,0.21,
1467, 1467 南緯      ,622362,267619,132.56,35760,-5537,-16248,-2706,16512,-8243,        ,672000,0.25,-0.14,12.66,41.06,1.05,0.69,
