stock,稅後純益,103年1-3月,增減,期末股本,稅後純益,103年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,103年1-3月,增減,公司,,營業收入,103年1-3月,增減,營業利益,103年1-3月,營業外,103年1-3月
1473,66515,80733,-17.61,1466450,0.46,0.56,28.52,50.6225455276648,1.86968311441525,1.36044520798328,56681,45815,23.72,1473,台南,2503737,2711834,-7.67,23189,11209,33492,34606
1474,19396,5445,256.22,1298970,0.15,0.04,13.87,49.9708605553443,1.33047906348047,0.716650921522584,22448,7491,199.67,1474,弘裕,843838,869750,-2.98,25981,9660,-3533,-2169
1475,-14426,-10599,,525168,-0.27,-0.2,5.5,50.931591660691,0.387751908874703,0.155694193151948,-22173,-19242,,1475,本盟,48402,44383,9.06,-15296,-23289,-6877,4047
1476,698150,658346,6.05,2609874,2.68,2.52,38.88,64.2017924348497,1.70109137559454,0.923545669518799,859042,804018,6.84,1476,儒鴻,4928213,4478376,10.04,873160,736590,-14118,67428
1477,640349,489402,30.84,1913097,3.35,2.89,45.9,68.4579170551782,2.08973017473162,0.855920674019142,782926,595083,31.57,1477,聚陽,5782028,5213181,10.91,769591,596322,13335,-1239
4414,-54337,49418,,1315072,-0.41,0.63,12.42,53.2903155482467,4.56837420530547,2.18352613994888,-55138,61118,,4414,如興,609556,636276,-4.2,-35816,59745,-19322,1373
4426,137879,51556,167.44,766152,1.8,0.74,20.6,66.3476599118395,2.14568000562218,1.59310652343021,160861,59639,169.72,4426,利勤,493817,321988,53.37,170807,56515,-9946,3124
05,4663819,6835891,-31.77,117370006,0.68,0.8,22.6,39.7397218997536,1.35240316279852,0.855722440472042,5301737,9267654,-42.79,05,電機機械類,99437739,101946670,-2.46,5609761,8504447,-308024,763207
1503,370336,342376,8.17,5209722,0.71,0.66,41.08,62.2787610200997,1.49534842305864,0.931703703043685,477297,444772,7.31,1503,士電,4763468,4536957,4.99,437975,353363,39322,91409
1504,737106,861255,-14.41,20026929,0.37,0.44,24.57,61.5005476852745,2.54540687116254,1.751079047888,1108947,1323639,-16.22,1504,東元,11716314,13524627,-13.37,986683,1188169,122264,135470
1506,6322,-7828,,1222516,0.05,-0.06,10.32,47.2122189046979,3.75422493598582,2.2161591491038,7475,-7950,,1506,正道,377845,331046,14.14,14969,-9939,-7494,1989
1507,492589,437932,12.48,4108200,1.21,1.07,29.47,41.4671335761817,1.32213376215784,0.594912025407932,672530,576891,16.58,1507,永大,5813506,4981765,16.7,653897,539154,18633,37737
1512,-61403,-78883,,1818025,-0.33,-0.43,9.22,30.381518644633,1.04631817247658,0.589753557084617,-42308,-61961,,1512,瑞利,959896,856399,12.09,-3781,-49733,-38527,-12228
1513,122222,94653,29.13,4200000,0.3,0.2,18.33,52.2068182263891,1.69091565606555,0.795548139211122,155684,129592,20.13,1513,中興電,2081376,1885924,10.36,95095,89997,60589,39595
1514,21190,23070,-8.15,2010670,0.11,0.12,13.55,56.3357499970709,1.78402412829189,1.36781403560394,22148,19852,11.57,1514,亞力,792923,638535,24.18,16360,1188,5788,18664
1515,17244,10297,67.47,1814735,0.1,0.06,13.02,43.0977969519822,0.987469010225747,0.721645119853033,11920,11705,1.84,1515,力山,770101,676020,13.92,8627,-6855,3293,18560
1517,3636,58200,-93.75,2278250,0.02,0.26,15.63,62.2037245951109,4.29487007544007,3.38181391450126,22120,95918,-76.94,1517,利奇,886027,915301,-3.2,47789,57889,-25669,38029
1519,-2970,43148,,2610585,-0.01,0.17,12.01,47.6490878866026,1.73149427760775,1.07040853736292,14993,53967,-72.22,1519,華城,1026516,949118,8.15,29184,52301,-14191,1666
1521,170396,102205,66.72,762300,2.24,1.34,24.28,52.8929883119002,1.50901495130552,1.00790490133133,204324,127856,59.81,1521,大億,1610395,1170798,37.55,180191,108893,24133,18963
1522,129731,154908,-16.25,3128979,0.42,0.5,18.04,31.7284741926238,1.10155756936315,0.443994129181251,210474,234013,-10.06,1522,堤維西,3730972,3499673,6.61,237833,81568,-27359,152445
1524,-214132,12784,,1796852,-1.19,0.07,10.3,39.0080660881843,0.991080372780797,0.512284381079177,-257778,16402,,1524,耿鼎,591818,616806,-4.05,26513,14786,-284291,1616
1525,90863,72957,24.54,692454,1.31,1.05,45.67,81.9671990928236,1.6182597779626,0.518427677303265,93376,80530,15.95,1525,江申,286592,244487,17.22,5476,-7385,87900,87915
1526,4484,12727,-64.77,500000,0.09,0.25,10.84,47.7493846025127,2.22270871985158,1.10990723562152,6907,14289,-51.66,1526,日馳,199321,172720,15.4,18231,11762,-11324,2527
1527,48629,266138,-81.73,1532896,0.32,1.74,21.39,24.0777617726384,1.24568238604077,0.516192912582956,58589,320648,-81.73,1527,鑽全,841760,722881,16.45,162779,124826,-104190,195822
1528,467,26979,-98.27,1470000,<<<<<,0.18,13.72,44.1142573414979,1.71929015790965,0.980317107308151,39,31024,-99.87,1528,恩德,782680,800980,-2.28,25295,28802,-25256,2222
1529,-7046,-5952,,2997089,-0.02,-0.02,1.65,79.4456717828994,0.977400032104627,0.774017218218531,-7046,-5891,,1529,樂士,27014,15571,73.49,-4027,-7264,-3019,1373
1530,66809,67768,-1.42,919945,0.73,0.74,28.12,39.90798197587,1.35427392929173,0.724401286262681,94317,84394,11.76,1530,亞崴,911947,855140,6.64,47448,72901,46869,11493
1531,20497,75975,-73.02,1931511,0.11,0.39,22.52,76.0971029846929,3.87279898439704,2.92040103296369,29873,90586,-67.02,1531,高林股,647231,761911,-15.05,26596,56713,3277,33873
1533,20716,86055,-75.93,947572,0.22,0.91,23.42,51.3535632584023,1.97161314316017,1.18440368867983,25477,116936,-78.21,1533,車王電,574117,652157,-11.97,51833,82970,-26356,33966
1535,134138,139727,-4,1237426,1.08,1.13,30.4,53.9997376308294,1.91078897402215,1.04435094939325,157772,171160,-7.82,1535,中宇,2562804,2480376,3.32,123653,94626,34119,76534
1536,204182,153975,32.61,2349565,0.87,0.68,14.68,41.9205151562638,1.71733596957545,1.06581274631607,240711,180728,33.19,1536,和大,1204902,980105,22.94,270947,156200,-30236,24528
1537,154564,147897,4.51,815854,1.89,1.81,38.91,72.1180258144549,3.5594734817208,1.8704650738975,210078,195173,7.64,1537,廣隆,1716957,1564275,9.76,210532,177084,-454,18089
1538,-86971,24158,,831358,-1.05,0.29,8.66,37.4405299326825,1.16786861641407,0.276206819184844,-86971,24158,,1538,正峰新,187057,205924,-9.16,-20322,-25639,-66649,49797
1539,47145,25926,81.84,653700,0.72,0.4,13.37,39.1915040011698,1.33571932635453,0.6487942343173,57644,32788,75.81,1539,巨庭,677683,525034,29.07,69397,20980,-11753,11808
1540,42986,50399,-14.71,854736,0.54,0.64,18.51,76.8617732429603,3.56553807599298,2.44290796215302,48994,59055,-17.04,1540,喬福,277192,255221,8.61,60336,46062,-11342,12993
1541,33774,39332,-14.13,788000,0.43,0.5,13.62,52.8270711330433,1.45339815071432,0.984291451360748,41173,47294,-12.94,1541,錩泰,667895,650439,2.68,53418,34990,-12245,12304
1558,115891,148599,-22.01,605526,1.91,2.45,68.59,76.4615854792357,3.44076099500238,2.73691315632051,153496,187301,-18.05,1558,伸興,1283866,1237281,3.77,156135,142664,-2639,44637
1560,151139,152725,-1.04,1410000,1.07,1.08,28.25,76.5322196437628,2.47931935939708,1.44996585021196,182977,184314,-0.73,1560,中砂,1017144,1027705,-1.03,190227,186281,-7250,-1967
1568,13452,39616,-66.04,1030865,0.13,0.43,13.92,47.3324242293265,1.33697707645126,0.726527250721195,19759,48357,-59.14,1568,倉佑,536651,523749,2.46,38534,48236,-18775,121
1583,127646,116569,9.5,1000323,1.28,1.16,35.76,29.7337953343329,1.43815752817753,0.747813646355119,210822,200757,5.01,1583,程泰,1808125,1624918,11.27,178363,174628,32459,26129
