stock,89年1-9月,稅後純益,89年1-9月,增(減)(%),期末股本,稅後純益,89年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,89年1-9月,增(減)(%),營業利益,89年1-9月,營業外
1470,-31220,-40640,-19650,106.82,857670,-0.47,-0.23,9.7237,69.6447,1.18,0.88,1470,大統染,555149,627397,-11.52,-23596,1031,-14895
1471,-102931,-9583,-34283,-72.05,1171280,-0.08,-0.29,11.1787,44.0533,1.04,0.78,1471,首利,2056546,2065083,-0.41,40611,58448,-45194
1472,-12569,-13702,-9796,39.87,690000,-0.2,-0.14,15.4565,80.638,1.89,1.02,1472,三洋纖,796059,630591,26.24,-8743,-4227,-4659
1473,215584,370199,321604,15.11,1160902,3.19,3.39,22.9223,74.9228,1.38,0.8,1473,台南,2841174,2538313,11.93,154521,203977,280174
1474,1284,85588,92698,-7.67,608862,1.41,1.52,14.9175,54.1849,1.76,1.11,1474,弘裕,2020161,1989504,1.54,103414,113193,10122
1475,-76716,-69173,16539,,976721,-0.71,0.17,9.1205,40.591,1.02,0.24,1475,本盟,1017493,1571107,-35.24,8405,80052,-68983
1476,-18293,60275,90906,-33.7,912108,0.66,1,13.6745,53.8614,1.2,0.56,1476,儒鴻,2157803,2583658,-16.48,113092,132886,-27160
15,-361861,4632214,4755753,-2.6,70865207,0.65,0.71,14.8624,54.6085,1.41,0.78,15,電機機械類,72189977,77415843,-6.75,4107197,6064954,1222577
1503,-129062,278497,449294,-38.01,5209722,0.53,0.9,17.1642,56.1112,1.34,0.8,1503,士電,7048226,7510396,-6.15,482198,690800,-166205
1504,364075,380208,848052,-55.17,19571203,0.19,0.47,16.6983,56.9502,1.49,1.02,1504,東元,16247342,15438479,5.24,34857,611303,345351
1506,-39576,-1508,4960,,1022516,-0.01,0.05,11.2278,41.3093,0.5,0.21,1506,正道,535173,636288,-15.89,29038,32505,-39342
1507,73981,254627,288996,-11.89,4108200,0.62,0.7,17.1581,76.879,2.67,1.84,1507,永大,2128037,2686509,-20.79,191993,274320,77220
1510,-103191,-28407,75444,,2280434,-0.12,0.34,13.6883,39.3651,1.62,0.63,1510,台安,4025713,4333896,-7.11,86272,169927,-110957
1512,-144320,17081,-69895,,1765073,0.1,-0.4,11.2219,52.3443,0.81,0.41,1512,瑞利,1773644,2000178,-11.33,34958,84197,-11414
1513,-264446,416090,879565,-52.69,6233040,0.67,1.41,13.1302,46.9797,1.61,0.26,1513,中興電,6709033,7707103,-12.95,530656,1194879,-54232
1514,-21728,104439,177872,-41.28,1982174,0.53,0.9,12.2753,57.7014,1.75,1.05,1514,亞力,2226418,2409859,-7.61,184440,256352,-42636
1515,-150381,-64508,72963,,2497131,-0.26,0.31,11.5778,42.9392,1.4,1.06,1515,力山,2492197,3814593,-34.67,86861,283021,-144837
1516,12097,-93987,6513,,1542362,-0.61,0.04,8.4041,57.3813,1.13,0.62,1516,川飛,638335,849802,-24.88,10346,-5865,-106558
1517,-238385,-130087,-298300,-56.39,2312673,-0.56,-1.29,10.7298,89.7593,6.7,5.38,1517,利奇,1021655,1660540,-38.47,-160870,-77180,-12463
1518,-64776,-21980,7090,,1847421,-0.12,0.04,11.3433,66.5102,1.65,0.43,1518,夆典,2045433,1412042,44.86,39644,100732,-70639
1519,-3908,93114,226891,-58.96,2195604,0.42,1.14,10.7166,54.8587,1.2,0.87,1519,華城,1539770,2226265,-30.84,98891,265247,-6590
1520,263598,2032460,675193,201.02,3562872,5.7,2.45,18.9926,58.8693,1.17,0.86,1520,復盛,3694472,2898167,27.48,897187,516307,1384208
1521,-28778,30368,115811,-73.78,762300,0.4,1.52,13.3823,46.748,1.44,0.92,1521,大億,1479578,1811843,-18.34,15980,161770,5957
1522,-42703,214673,-16564,,1696484,1.27,-0.1,19.5767,46.9347,1.01,0.75,1522,堤維西,3259339,2822256,15.49,229023,25853,39366
1523,3208,103260,-75432,,1449349,0.71,-0.52,14.2671,46.247,0.69,0.51,1523,開億,2375143,2094062,13.42,141490,-98674,-11052
1524,-3591,53462,15575,243.26,1052670,0.51,0.16,12.5658,49.8951,0.83,0.52,1524,耿鼎,1094666,840974,30.17,83194,7511,-12018
1525,12584,29682,50808,-41.58,410571,0.72,1.24,19.7578,75.6726,3.52,2.53,1525,江申,527091,682003,-22.71,9847,48224,16835
1526,-15462,-87685,-17343,405.59,787971,-1.11,-0.22,10.6714,53.5363,0.96,0.41,1526,日馳,481846,634681,-24.08,-73864,-13210,-28862
1527,24637,421499,353349,19.29,1297750,3.25,3.28,14.6729,63.5784,3.15,2.71,1527,鑽全,1477947,1442839,2.43,507631,439560,42307
1528,-18825,15772,97230,-83.78,800000,0.2,1.35,14.0682,49.6105,1.62,1.02,1528,恩德,1432939,1712849,-16.34,89288,141393,-72337
1529,4736,-12770,45757,,713083,-0.18,0.82,11.4761,54.5128,1.56,0.7,1529,樂士,639992,893112,-28.34,3001,51368,-14218
1530,6317,14557,18285,-20.39,476011,0.31,0.39,11.0696,77.5854,3.98,2,1530,亞崴,296590,355890,-16.66,16386,16129,3486
1531,27293,236698,289057,-18.11,1199121,1.97,2.67,19.1324,77.5254,3.69,1.98,1531,高林股,1823373,2093470,-12.9,206733,354515,78555
1532,187501,92318,211689,-56.39,1118549,0.83,2.01,15.6267,65.6257,1.08,0.73,1532,勤美,1465734,1435098,2.13,-4578,34788,94639
1533,-55137,204764,137256,49.18,757560,2.7,2.14,17.8585,48.2639,1.28,0.54,1533,車王電,1243100,1391780,-10.68,206984,237750,58098
1534,-30162,7571,74898,-89.89,888977,0.09,1.32,12.9927,31.8703,1,0.28,1534,新企,872113,1616780,-46.06,27485,121595,-25568
1535,33112,59051,91969,-35.79,811719,0.73,1.13,12.3794,27.568,1.25,0.99,1535,中宇,1126654,1436027,-21.54,65859,91424,20869
1536,-20569,12955,18770,-30.98,512667,0.25,0.4,11.418,41.9647,0.99,0.72,1536,和大,468424,568062,-17.54,36267,48413,-14386
16,12690090,1911087,14382827,-86.71,117751148,0.16,1.3,13.5488,62.9266,1.24,0.63,16,電器電纜類,62167771,69124006,-10.06,208722,1801816,1601091
1601,1207139,-168103,1080667,,2756160,-0.61,3.41,7.8674,39.3348,0.95,0.3,1601,台光,1914650,2035585,-5.94,-111024,-126472,-51580
1602,1736025,3193089,1845863,72.99,31561634,1.01,0.6,13.7809,57.5004,1.14,0.45,1602,太電,9126807,8617427,5.91,-34184,128463,3308425
1604,1289017,804539,1861147,-56.77,11947249,0.67,1.78,11.4195,65.6941,1.47,0.79,1604,聲寶,9766548,10929266,-10.64,246331,572130,558208
1605,7340697,-903407,7911137,,36129763,-0.25,2.5,15.2534,77.1354,1.48,0.9,1605,華新,12565332,15748682,-20.21,93250,570440,-996657
1606,87897,-245699,-84960,189.19,5184000,-0.47,-0.16,10.6811,37.343,0.87,0.51,1606,歌林,3264708,3220408,1.38,-237248,-183281,-23493
1608,114968,-749538,192488,,6296254,-1.19,0.31,12.2039,70.6621,1.7,1.11,1608,華榮,4159159,4725390,-11.98,68251,80071,-883061
1609,79518,-101754,321438,,5425770,-0.19,0.58,11.3493,60.5613,1.39,0.67,1609,大亞,3197735,3935194,-18.74,43797,310180,-158318
1611,188817,129436,234039,-44.69,3601109,0.36,0.65,12.8622,76.1837,3.02,2.3,1611,中電,2248684,2625915,-14.37,34192,86016,101819
1612,414970,-74555,448545,,3321390,-0.22,1.42,11.8309,77.3042,3.46,1.89,1612,宏泰,1566839,1871684,-16.29,-70279,44752,-12750
1613,8972,-233877,86122,,4321974,-0.54,0.2,14.1187,42.4887,0.8,0.33,1613,台一,3842150,5713483,-32.75,-46168,24598,-307434
1614,235221,185774,345873,-46.29,3166040,0.59,1.11,15.2241,67.7474,2.71,2.27,1614,三洋電,4798774,4437428,8.14,116183,158521,113019
1615,-19794,-25744,-43702,-41.09,882000,-0.29,-0.5,11.663,46.3106,0.97,0.56,1615,大山,1095479,963598,13.69,-32848,-60725,-3744
1616,35551,-58866,54956,,1008294,-0.58,0.54,17.1622,70.618,1.76,0.86,1616,億泰,1041139,1107521,-5.99,-30637,15043,-29016
1617,-2493,127179,120711,5.36,955661,1.33,1.35,15.0781,54.7269,1.36,1.07,1617,榮星,2292167,2304938,-0.55,113918,161629,31463
1618,-26415,32613,8503,283.55,1193850,0.27,0.07,17.2568,47.3663,0.87,0.43,1618,合機,1287600,887487,45.08,55188,20451,-45790
17,21248,4531163,4112139,10.19,75980783,0.6,0.56,14.8761,60.1061,1.67,1.12,17,化學類,73462727,68134649,7.82,5269050,4663774,323663
1701,-112115,-86339,-11694,638.32,2509100,-0.34,-0.05,13.2696,52.8583,1.08,0.67,1701,中化,1790034,1852408,-3.37,32112,74695,-113248
1702,-150265,48120,-70332,,2796871,0.17,-0.25,8.249,47.8584,0.68,0.45,1702,南僑,1025279,1095951,-6.45,60564,79933,-12444
1704,160330,158627,256988,-38.27,4717247,0.34,0.57,13.1857,66.3985,1.7,1.04,1704,榮化,5535506,5618811,-1.48,171726,174425,77261
1707,-70866,-5839,-78022,-92.52,1308186,-0.04,-0.6,10.716,73.5247,3.77,2.7,1707,葡萄王,725597,655519,10.69,32737,-2891,-36959
1708,304970,52141,198780,-73.77,2104529,0.25,1.03,12.6672,69.4554,1.14,0.69,1708,東碱,1184578,1228447,-3.57,-57445,-55589,114287
1709,23592,156539,107033,46.25,1970848,0.79,0.56,13.0745,78.719,3.66,1.86,1709,和益,2441136,2138194,14.17,179837,115903,17505
1710,21760,396568,373102,6.29,4959070,0.8,0.73,11.3252,69.25,1.04,0.66,1710,東聯,3413935,3738638,-8.69,348268,388595,96577
1711,-125855,113501,112114,1.24,3878600,0.29,0.3,12.5446,67.9355,1.61,0.81,1711,永光,3028291,2949955,2.66,242824,210056,-147392
1712,-5770,64199,108133,-40.63,3573319,0.18,0.31,11.251,66.9129,1.32,0.48,1712,興農,4927015,4849452,1.6,175057,80026,-129534
1713,21797,67675,91754,-26.24,1509517,0.45,0.61,13.2185,84.7672,12.63,8.89,1713,國化,614650,776551,-20.85,58706,98031,29277
1714,222359,464148,281539,64.86,5110886,0.91,0.61,12.4683,59.197,1.78,1.39,1714,和桐,6943553,4471609,55.28,172599,89690,372380
